Nutrient,Unit,2-3,4-8,9-13,14-18,19-30,31-50,51-70,71_and_over,2-18,19_and_over,Total_2_years_and_over,Category,Gender
Energy(a),(kJ),6044.1,7637.6,9209.4,10186,11003.7,10219.9,9344.7,8174,8635.8,9954.5,9654.8,Energy(a),Males
Moisture(b),(g),1551.8,1757.8,2102.1,2624.3,3429.1,3256.3,2907.7,2367.6,2077.3,3110,2875.3,Moisture(b),Males
Protein,(g),57.5,69.2,86.4,101.2,117.2,107.7,97.5,82.6,82,104.6,99.4,Macronutrients,Males
Total Fat(c),(g),49.8,64.8,80.4,88.1,92.5,86.3,78.6,66.9,74.3,83.7,81.5,Macronutrients,Males
Saturated fat,(g),21.8,27.7,34,36.4,34.7,32.5,29.4,26.6,31.4,31.5,31.5,Macronutrients,Males
Monounsaturated fat,(g),17.5,23.3,29.4,32.8,36,33.5,30.5,24.5,27.1,32.3,31.2,Macronutrients,Males
Polyunsaturated fat(c),(g),6.3,8.4,10.5,11.6,14.1,13.2,11.8,9.6,9.7,12.7,12,Macronutrients,Males
  Linoleic acid,(g),5.1,7.1,8.8,9.8,11.8,11,9.7,7.8,8.1,10.5,10,Macronutrients,Males
  Alpha-Linolenic acid,(g),0.9,1,1.3,1.4,1.6,1.6,1.5,1.3,1.2,1.6,1.5,Macronutrients,Males
Total long chain omega 3 fatty acids,(mg),139.4,119.2,138.1,191.2,324.2,256.8,352.8,273.1,147.1,301.9,266.8,Macronutrients,Males
Trans fatty acids,(mg),1042,1340.9,1627.4,1885.1,1725.4,1631,1509.1,1442.2,1543.5,1600,1587.2,Macronutrients,Males
Carbohydrate(c),(g),184.3,233,273.9,297.1,297.2,263.9,233.8,219.4,257.5,258.8,258.5,Macronutrients,Males
Total sugars,(g),94.3,110.7,125.4,134.1,131,119.4,101,101.8,119.7,115.2,116.2,Macronutrients,Males
Starch,(g),88.2,120.4,146.1,160.5,159,137,125.2,112.4,135.5,136.5,136.3,Macronutrients,Males
Dietary Fibre,(g),17,20.1,22.8,22.4,24.4,24.9,24.8,25.1,21.2,24.8,24,Macronutrients,Males
Alcohol(d),(g),0,0,0.1,2,14.4,19.7,22.6,14.2,0.6,18.7,14.6,Macronutrients,Males
Preformed Vitamin A,(µg),280.9,298,334.6,341.1,348.1,321.1,391.9,386.8,319.2,354.3,346.3,Vitamins,Males
Pro Vitamin A,(µg),1852.2,2679.1,2648.8,2487.8,3116.1,3038,3255.8,3429.5,2518.2,3157.7,3012.4,Vitamins,Males
      Vitamin A retinol equivalent,(µg),586.9,742.9,774.2,754.3,866.1,826.3,933.6,957.5,737.2,879.5,847.1,Vitamins,Males
Thiamin (B1),(mg),1.3,1.7,1.9,1.9,1.9,1.7,1.7,1.7,1.8,1.8,1.8,Vitamins,Males
Riboflavin (B2),(mg),1.8,1.9,2.1,2.1,2.4,2.2,1.9,1.8,2,2.1,2.1,Vitamins,Males
Niacin (B3),(mg),13.8,18.2,22.3,24.6,31.6,28.9,25.9,21.9,20.7,28,26.3,Vitamins,Males
Niacin equivalent,(mg),24.8,31.7,39,44,54.4,49.3,44.4,37.5,36.5,47.9,45.3,Vitamins,Males
