alco_sex,alco_category_group,alco_category,alco_age_group,alco_estimate_000
Persons,Exceeded guideline,Consumed more than 10 drinks in the last week,15–17,22.0
Persons,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,15–17,21.1
Persons,Exceeded guideline,Total exceeded guideline,15–17,45.9
Persons,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,15–17,67.7
Persons,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,15–17,192.9
Persons,Did not exceed guideline,Never consumed alcohol,15–17,575.5
Persons,Did not exceed guideline,Consumed alcohol 12 or more months ago,15–17,28.5
Persons,Did not exceed guideline,Total did not exceed guideline,15–17,862.4
Persons,Did not exceed guideline,"Total persons, 15 years and over",15–17,924.8
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,15–17,11.9
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,15–17,7.2
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,15–17,15.4
Persons,Number of standard drinks consumed in a week when exceeding the guideline,Total persons who exceeded guideline and consumed in the last week,15–17,22.0
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,15–17,7.6
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,15–17,18.7
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,15–17,0.0
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total persons who exceeded guideline and consumed in the last month,15–17,21.1
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total persons, 15 years and over",15–17,924.8
Males,Exceeded guideline,Consumed more than 10 drinks in the last week,15–17,12.5
Males,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,15–17,18.2
Males,Exceeded guideline,Total exceeded guideline,15–17,28.7
Males,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,15–17,32.1
Males,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,15–17,93.7
Males,Did not exceed guideline,Never consumed alcohol,15–17,287.9
Males,Did not exceed guideline,Consumed alcohol 12 or more months ago,15–17,19.3
Males,Did not exceed guideline,Total did not exceed guideline,15–17,435.6
Males,Did not exceed guideline,"Total males, 15 years and over",15–17,471.3
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,15–17,11.9
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,15–17,0.0
