data_year,sex,age_group,risk_factor,cause_name,attributable_deaths,deaths,pct_deaths_total,attributable_yll,yll,pct_yll_total,attributable_yld,yld,pct_yld_total,attributable_daly,daly,pct_daly_total,disease_group
2003,Females,nan,Alcohol use,Alcohol use disorders,49.0,49.0,,1406.0,1406.0,,13349.0,13349.0,,14755.0,14755.0,,
2003,Females,nan,Alcohol use,Atrial fibrillation and flutter,46.0,612.0,,360.0,4842.0,,692.0,9440.0,,1053.0,14282.0,,
2003,Females,nan,Alcohol use,Bowel cancer,137.0,2436.0,,2103.0,40038.0,,134.0,2416.0,,2237.0,42454.0,,
2003,Females,nan,Alcohol use,Breast cancer,252.0,2813.0,,5804.0,63659.0,,621.0,6869.0,,6425.0,70527.0,,
2003,Females,nan,Alcohol use,Chronic liver disease,36.0,480.0,,842.0,11229.0,,41.0,562.0,,883.0,11791.0,,
2003,Females,nan,Alcohol use,Coronary heart disease,621.0,13483.0,,5513.0,127532.0,,1339.0,31109.0,,6852.0,158641.0,,
2003,Females,nan,Alcohol use,Drowning,2.0,52.0,,90.0,2645.0,,1.0,35.0,,91.0,2680.0,,
2003,Females,nan,Alcohol use,Epilepsy,16.0,145.0,,525.0,4807.0,,1571.0,15576.0,,2095.0,20383.0,,
2003,Females,nan,Alcohol use,Falls,22.0,872.0,,264.0,8266.0,,429.0,12597.0,,693.0,20863.0,,
2003,Females,nan,Alcohol use,"Fire, burns and scalds",2.0,39.0,,70.0,1184.0,,31.0,670.0,,101.0,1853.0,,
2003,Females,nan,Alcohol use,Homicide and violence,8.0,100.0,,397.0,5323.0,,91.0,965.0,,487.0,6287.0,,
2003,Females,nan,Alcohol use,Hypertensive heart disease,21.0,477.0,,209.0,3973.0,,4.0,93.0,,213.0,4066.0,,
2003,Females,nan,Alcohol use,Laryngeal cancer,3.0,27.0,,61.0,517.0,,4.0,32.0,,64.0,549.0,,
2003,Females,nan,Alcohol use,Lip and oral cavity cancer,27.0,155.0,,507.0,2648.0,,45.0,245.0,,552.0,2893.0,,
2003,Females,nan,Alcohol use,Liver cancer,66.0,301.0,,1174.0,5456.0,,15.0,70.0,,1189.0,5526.0,,
2003,Females,nan,Alcohol use,Lower respiratory infections,153.0,2138.0,,1204.0,18582.0,,89.0,1820.0,,1293.0,20402.0,,
2003,Females,nan,Alcohol use,Nasopharyngeal cancer,4.0,23.0,,104.0,539.0,,4.0,20.0,,108.0,559.0,,
2003,Females,nan,Alcohol use,Oesophageal cancer,41.0,378.0,,653.0,5776.0,,15.0,135.0,,667.0,5911.0,,
2003,Females,nan,Alcohol use,Other land transport injuries,4.0,29.0,,152.0,1527.0,,231.0,1223.0,,384.0,2750.0,,
2003,Females,nan,Alcohol use,Other oral cavity and pharynx cancers,11.0,60.0,,257.0,1269.0,,7.0,39.0,,264.0,1308.0,,
2003,Females,nan,Alcohol use,Other unintentional injuries,7.0,178.0,,235.0,5648.0,,124.0,2158.0,,360.0,7806.0,,
2003,Females,nan,Alcohol use,Pancreatitis,7.0,102.0,,105.0,1599.0,,10.0,165.0,,116.0,1765.0,,
2003,Females,nan,Alcohol use,Poisoning,24.0,259.0,,986.0,10811.0,,19.0,260.0,,1005.0,11071.0,,
2003,Females,nan,Alcohol use,Road traffic injuries - motor vehicle occupants,69.0,368.0,,3094.0,16621.0,,374.0,1828.0,,3467.0,18448.0,,
2003,Females,nan,Alcohol use,Road traffic injuries - motorcyclists,3.0,15.0,,179.0,774.0,,30.0,155.0,,209.0,928.0,,
2003,Females,nan,Alcohol use,Road traffic injuries - pedal cyclists,0.0,2.0,,7.0,113.0,,25.0,175.0,,31.0,287.0,,
2003,Females,nan,Alcohol use,Road traffic injuries - pedestrians,14.0,81.0,,484.0,2808.0,,61.0,363.0,,545.0,3171.0,,
2003,Females,nan,Alcohol use,Stroke,259.0,7710.0,,2461.0,72185.0,,125.0,6668.0,,2585.0,78853.0,,
2003,Females,nan,Alcohol use,Suicide and self-inflicted injuries,33.0,509.0,,1623.0,22298.0,,45.0,579.0,,1667.0,22877.0,,
2003,Females,nan,All dietary risks,Aortic aneurysm,24.0,527.0,,293.0,6151.0,,0.0,4.0,,293.0,6155.0,,
2003,Females,nan,All dietary risks,Atrial fibrillation and flutter,28.0,612.0,,233.0,4842.0,,500.0,9440.0,,732.0,14282.0,,
2003,Females,nan,All dietary risks,Bowel cancer,596.0,2436.0,,10075.0,40038.0,,593.0,2416.0,,10668.0,42454.0,,
2003,Females,nan,All dietary risks,Breast cancer,84.0,2813.0,,1989.0,63659.0,,209.0,6869.0,,2198.0,70527.0,,
2003,Females,nan,All dietary risks,Cardiomyopathy,13.0,276.0,,213.0,4796.0,,53.0,1113.0,,266.0,5909.0,,
2003,Females,nan,All dietary risks,Chronic kidney disease,62.0,1085.0,,646.0,11312.0,,264.0,4697.0,,910.0,16009.0,,
2003,Females,nan,All dietary risks,Coronary heart disease,6183.0,13483.0,,61408.0,127532.0,,15017.0,31109.0,,76426.0,158641.0,,
2003,Females,nan,All dietary risks,Hypertensive heart disease,27.0,477.0,,242.0,3973.0,,5.0,93.0,,247.0,4066.0,,
2003,Females,nan,All dietary risks,Inflammatory heart disease,1.0,60.0,,13.0,1495.0,,5.0,563.0,,19.0,2058.0,,
2003,Females,nan,All dietary risks,Lung cancer,97.0,2637.0,,1837.0,48943.0,,31.0,861.0,,1868.0,49803.0,,
2003,Females,nan,All dietary risks,Non-rheumatic valvular disease,25.0,685.0,,242.0,6586.0,,207.0,5571.0,,449.0,12157.0,,
2003,Females,nan,All dietary risks,Oesophageal cancer,81.0,378.0,,1264.0,5776.0,,29.0,135.0,,1293.0,5911.0,,
2003,Females,nan,All dietary risks,Peripheral vascular disease,18.0,479.0,,165.0,4237.0,,33.0,799.0,,198.0,5035.0,,
2003,Females,nan,All dietary risks,Rheumatic heart disease (including acute rheumatic fever),9.0,213.0,,126.0,3192.0,,22.0,553.0,,147.0,3746.0,,
2003,Females,nan,All dietary risks,Stroke,1550.0,7710.0,,16481.0,72185.0,,1539.0,6668.0,,18020.0,78853.0,,
2003,Females,nan,All dietary risks,Type 2 diabetes mellitus,319.0,1339.0,,3870.0,15925.0,,4179.0,16672.0,,8049.0,32596.0,,
2003,Females,nan,Amphetamine use,Drug use disorders (excluding alcohol),5.0,40.0,,277.0,1996.0,,1233.0,8862.0,,1509.0,10858.0,,
2003,Females,nan,Amphetamine use,Poisoning,12.0,259.0,,493.0,10811.0,,10.0,260.0,,503.0,11071.0,,
2003,Females,nan,Amphetamine use,Road traffic injuries - motor vehicle occupants,7.0,368.0,,351.0,16621.0,,50.0,1828.0,,402.0,18448.0,,
2003,Females,nan,Amphetamine use,Road traffic injuries - motorcyclists,0.0,15.0,,22.0,774.0,,4.0,155.0,,26.0,928.0,,
2003,Females,nan,Amphetamine use,Suicide and self-inflicted injuries,5.0,509.0,,259.0,22298.0,,7.0,579.0,,266.0,22877.0,,
2003,Females,nan,Bullying victimisation,Anxiety disorders,0.0,4.0,,0.0,48.0,,1203.0,75784.0,,1203.0,75832.0,,
2003,Females,nan,Bullying victimisation,Depressive disorders,0.0,33.0,,0.0,293.0,,1435.0,65183.0,,1435.0,65476.0,,
2003,Females,nan,Cannabis use,Anxiety disorders,0.0,4.0,,0.0,48.0,,397.0,75784.0,,397.0,75832.0,,
2003,Females,nan,Cannabis use,Depressive disorders,0.0,33.0,,0.0,293.0,,299.0,65183.0,,299.0,65476.0,,
2003,Females,nan,Cannabis use,Drug use disorders (excluding alcohol),6.0,40.0,,344.0,1996.0,,1781.0,8862.0,,2126.0,10858.0,,
2003,Females,nan,Cannabis use,Poisoning,3.0,259.0,,110.0,10811.0,,2.0,260.0,,112.0,11071.0,,
2003,Females,nan,Cannabis use,Road traffic injuries - motor vehicle occupants,1.0,368.0,,75.0,16621.0,,9.0,1828.0,,83.0,18448.0,,
2003,Females,nan,Cannabis use,Road traffic injuries - motorcyclists,0.0,15.0,,5.0,774.0,,1.0,155.0,,5.0,928.0,,
