data_year,survey_period,sex,age_group,risk_factor,disease,attributable_deaths,deaths,pct_deaths_total,attributable_yll,yll,pct_yll_total,attributable_yld,yld,pct_yld_total,attributable_daly,daly,pct_daly_total,disease_group
2003,2003,Females,15–24,Alcohol use,Alcohol use disorders,0,0,,0.0,0.0,,4293.0,4293.0,,4293.0,4293.0,,
2003,2003,Females,15–24,Alcohol use,Atrial fibrillation and flutter,0,0,,0.0,0.0,,1.0,17.0,,1.0,17.0,,
2003,2003,Females,15–24,Alcohol use,Bowel cancer,0,1,,3.0,74.0,,0.0,6.0,,4.0,80.0,,
2003,2003,Females,15–24,Alcohol use,Breast cancer,0,0,,0.0,0.0,,0.0,2.0,,0.0,2.0,,
2003,2003,Females,15–24,Alcohol use,Chronic liver disease,0,2,,10.0,140.0,,2.0,26.0,,12.0,165.0,,
2003,2003,Females,15–24,Alcohol use,Coronary heart disease,0,1,,2.0,69.0,,1.0,18.0,,2.0,87.0,,
2003,2003,Females,15–24,Alcohol use,Drowning,0,3,,25.0,202.0,,1.0,5.0,,25.0,207.0,,
2003,2003,Females,15–24,Alcohol use,Epilepsy,1,10,,96.0,622.0,,290.0,1930.0,,386.0,2552.0,,
2003,2003,Females,15–24,Alcohol use,Falls,0,4,,26.0,286.0,,45.0,480.0,,71.0,766.0,,
2003,2003,Females,15–24,Alcohol use,"Fire, burns and scalds",0,1,,8.0,66.0,,12.0,101.0,,20.0,167.0,,
2003,2003,Females,15–24,Alcohol use,Homicide and violence,3,21,,193.0,1401.0,,30.0,219.0,,223.0,1620.0,,
2003,2003,Females,15–24,Alcohol use,Hypertensive heart disease,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,
2003,2003,Females,15–24,Alcohol use,Laryngeal cancer,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,
2003,2003,Females,15–24,Alcohol use,Lip and oral cavity cancer,0,1,,19.0,63.0,,1.0,2.0,,19.0,66.0,,
2003,2003,Females,15–24,Alcohol use,Liver cancer,0,1,,14.0,65.0,,0.0,0.0,,14.0,66.0,,
2003,2003,Females,15–24,Alcohol use,Lower respiratory infections,0,1,,5.0,78.0,,9.0,143.0,,14.0,220.0,,
2003,2003,Females,15–24,Alcohol use,Nasopharyngeal cancer,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,
2003,2003,Females,15–24,Alcohol use,Oesophageal cancer,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,
2003,2003,Females,15–24,Alcohol use,Other land transport injuries,0,1,,21.0,67.0,,91.0,307.0,,111.0,375.0,,
2003,2003,Females,15–24,Alcohol use,Other oral cavity and pharynx cancers,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,
2003,2003,Females,15–24,Alcohol use,Other unintentional injuries,1,8,,61.0,542.0,,43.0,374.0,,104.0,916.0,,
2003,2003,Females,15–24,Alcohol use,Pancreatitis,0,1,,6.0,66.0,,1.0,7.0,,6.0,73.0,,
2003,2003,Females,15–24,Alcohol use,Poisoning,3,28,,176.0,1881.0,,4.0,44.0,,180.0,1925.0,,
2003,2003,Females,15–24,Alcohol use,Road traffic injuries - motor vehicle occupants,23,91,,1524.0,6111.0,,133.0,530.0,,1657.0,6641.0,,
2003,2003,Females,15–24,Alcohol use,Road traffic injuries - motorcyclists,1,5,,85.0,333.0,,8.0,33.0,,94.0,366.0,,
2003,2003,Females,15–24,Alcohol use,Road traffic injuries - pedal cyclists,0,0,,0.0,0.0,,6.0,24.0,,6.0,24.0,,
2003,2003,Females,15–24,Alcohol use,Road traffic injuries - pedestrians,2,9,,144.0,586.0,,15.0,61.0,,159.0,647.0,,
2003,2003,Females,15–24,Alcohol use,Stroke,0,7,,23.0,474.0,,1.0,35.0,,24.0,510.0,,
2003,2003,Females,15–24,Alcohol use,Suicide and self-inflicted injuries,7,53,,457.0,3550.0,,17.0,127.0,,474.0,3677.0,,
2003,2003,Females,25–34,Alcohol use,Alcohol use disorders,3,3,,187.0,187.0,,2973.0,2973.0,,3160.0,3160.0,,
2003,2003,Females,25–34,Alcohol use,Atrial fibrillation and flutter,0,0,,0.0,0.0,,4.0,65.0,,4.0,65.0,,
2003,2003,Females,25–34,Alcohol use,Bowel cancer,1,15,,33.0,829.0,,1.0,18.0,,34.0,846.0,,
2003,2003,Females,25–34,Alcohol use,Breast cancer,3,31,,141.0,1685.0,,6.0,73.0,,147.0,1758.0,,
2003,2003,Females,25–34,Alcohol use,Chronic liver disease,0,6,,25.0,327.0,,4.0,57.0,,29.0,384.0,,
2003,2003,Females,25–34,Alcohol use,Coronary heart disease,0,17,,27.0,943.0,,2.0,76.0,,29.0,1020.0,,
2003,2003,Females,25–34,Alcohol use,Drowning,0,2,,11.0,126.0,,0.0,3.0,,11.0,129.0,,
2003,2003,Females,25–34,Alcohol use,Epilepsy,3,20,,148.0,1173.0,,297.0,2459.0,,445.0,3632.0,,
2003,2003,Females,25–34,Alcohol use,Falls,0,5,,15.0,310.0,,30.0,536.0,,45.0,846.0,,
2003,2003,Females,25–34,Alcohol use,"Fire, burns and scalds",0,4,,17.0,241.0,,7.0,98.0,,24.0,339.0,,
2003,2003,Females,25–34,Alcohol use,Homicide and violence,1,17,,82.0,978.0,,27.0,329.0,,109.0,1307.0,,
2003,2003,Females,25–34,Alcohol use,Hypertensive heart disease,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,
2003,2003,Females,25–34,Alcohol use,Laryngeal cancer,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,
2003,2003,Females,25–34,Alcohol use,Lip and oral cavity cancer,0,2,,22.0,112.0,,2.0,7.0,,23.0,119.0,,
2003,2003,Females,25–34,Alcohol use,Liver cancer,0,2,,25.0,115.0,,0.0,1.0,,25.0,116.0,,
2003,2003,Females,25–34,Alcohol use,Lower respiratory infections,0,4,,12.0,198.0,,12.0,199.0,,24.0,396.0,,
2003,2003,Females,25–34,Alcohol use,Nasopharyngeal cancer,0,1,,11.0,54.0,,0.0,1.0,,11.0,55.0,,
2003,2003,Females,25–34,Alcohol use,Oesophageal cancer,0,3,,18.0,162.0,,0.0,0.0,,18.0,163.0,,
2003,2003,Females,25–34,Alcohol use,Other land transport injuries,0,1,,14.0,59.0,,45.0,179.0,,60.0,238.0,,
2003,2003,Females,25–34,Alcohol use,Other oral cavity and pharynx cancers,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,
2003,2003,Females,25–34,Alcohol use,Other unintentional injuries,1,12,,52.0,681.0,,20.0,293.0,,73.0,975.0,,
2003,2003,Females,25–34,Alcohol use,Pancreatitis,0,1,,5.0,74.0,,1.0,16.0,,6.0,90.0,,
2003,2003,Females,25–34,Alcohol use,Poisoning,4,45,,239.0,2550.0,,5.0,51.0,,244.0,2600.0,,
2003,2003,Females,25–34,Alcohol use,Road traffic injuries - motor vehicle occupants,7,35,,419.0,1962.0,,63.0,296.0,,482.0,2258.0,,
2003,2003,Females,25–34,Alcohol use,Road traffic injuries - motorcyclists,1,4,,47.0,225.0,,6.0,30.0,,53.0,254.0,,
2003,2003,Females,25–34,Alcohol use,Road traffic injuries - pedal cyclists,0,0,,0.0,0.0,,7.0,32.0,,7.0,32.0,,
2003,2003,Females,25–34,Alcohol use,Road traffic injuries - pedestrians,2,7,,86.0,409.0,,9.0,43.0,,95.0,452.0,,
2003,2003,Females,25–34,Alcohol use,Stroke,1,14,,31.0,804.0,,1.0,92.0,,33.0,895.0,,
2003,2003,Females,25–34,Alcohol use,Suicide and self-inflicted injuries,9,113,,499.0,6362.0,,12.0,152.0,,511.0,6513.0,,
2003,2003,Females,35–44,Alcohol use,Alcohol use disorders,9,9,,431.0,431.0,,2087.0,2087.0,,2518.0,2518.0,,
2003,2003,Females,35–44,Alcohol use,Atrial fibrillation and flutter,0,0,,0.0,0.0,,12.0,174.0,,12.0,174.0,,
2003,2003,Females,35–44,Alcohol use,Bowel cancer,2,55,,100.0,2554.0,,2.0,63.0,,103.0,2617.0,,
2003,2003,Females,35–44,Alcohol use,Breast cancer,17,183,,796.0,8483.0,,51.0,539.0,,847.0,9022.0,,
2003,2003,Females,35–44,Alcohol use,Chronic liver disease,4,50,,173.0,2303.0,,8.0,112.0,,181.0,2416.0,,
2003,2003,Females,35–44,Alcohol use,Coronary heart disease,1,49,,63.0,2282.0,,13.0,448.0,,76.0,2730.0,,
2003,2003,Females,35–44,Alcohol use,Drowning,0,3,,12.0,152.0,,0.0,3.0,,12.0,155.0,,
2003,2003,Females,35–44,Alcohol use,Epilepsy,2,17,,99.0,778.0,,322.0,2556.0,,422.0,3334.0,,
2003,2003,Females,35–44,Alcohol use,Falls,0,8,,23.0,353.0,,35.0,560.0,,58.0,913.0,,
2003,2003,Females,35–44,Alcohol use,"Fire, burns and scalds",1,6,,24.0,292.0,,5.0,67.0,,29.0,359.0,,
2003,2003,Females,35–44,Alcohol use,Homicide and violence,2,18,,78.0,850.0,,26.0,285.0,,104.0,1135.0,,
2003,2003,Females,35–44,Alcohol use,Hypertensive heart disease,0,2,,11.0,98.0,,0.0,1.0,,11.0,99.0,,
2003,2003,Females,35–44,Alcohol use,Laryngeal cancer,0,1,,6.0,43.0,,0.0,1.0,,6.0,43.0,,
2003,2003,Females,35–44,Alcohol use,Lip and oral cavity cancer,1,4,,43.0,182.0,,4.0,16.0,,47.0,198.0,,
2003,2003,Females,35–44,Alcohol use,Liver cancer,1,5,,50.0,229.0,,0.0,2.0,,50.0,230.0,,
2003,2003,Females,35–44,Alcohol use,Lower respiratory infections,1,15,,42.0,694.0,,15.0,244.0,,57.0,938.0,,
2003,2003,Females,35–44,Alcohol use,Nasopharyngeal cancer,0,0,,0.0,0.0,,0.0,2.0,,0.0,2.0,,
2003,2003,Females,35–44,Alcohol use,Oesophageal cancer,1,5,,30.0,229.0,,0.0,2.0,,30.0,231.0,,
