data_year,sex,age_group,risk_factor,disease,attributable_deaths,deaths,pct_deaths_total,attributable_yll,yll,pct_yll_total,attributable_yld,yld,pct_yld_total,attributable_daly,daly,pct_daly_total,disease_group
2003,Females,15–24,Alcohol use,Alcohol use disorders,0.0,0.0,,0.0,0.0,,4293.0,4293.0,,4293.0,4293.0,,
2003,Females,15–24,Alcohol use,Atrial fibrillation and flutter,0.0,0.0,,0.0,0.0,,1.0,17.0,,1.0,17.0,,
2003,Females,15–24,Alcohol use,Bowel cancer,0.0,1.0,,3.0,74.0,,0.0,6.0,,4.0,80.0,,
2003,Females,15–24,Alcohol use,Breast cancer,0.0,0.0,,0.0,0.0,,0.0,2.0,,0.0,2.0,,
2003,Females,15–24,Alcohol use,Chronic liver disease,0.0,2.0,,10.0,140.0,,2.0,26.0,,12.0,165.0,,
2003,Females,15–24,Alcohol use,Coronary heart disease,0.0,1.0,,2.0,69.0,,1.0,18.0,,2.0,87.0,,
2003,Females,15–24,Alcohol use,Drowning,0.0,3.0,,25.0,202.0,,1.0,5.0,,25.0,207.0,,
2003,Females,15–24,Alcohol use,Epilepsy,1.0,10.0,,96.0,622.0,,290.0,1930.0,,386.0,2552.0,,
2003,Females,15–24,Alcohol use,Falls,0.0,4.0,,26.0,286.0,,45.0,480.0,,71.0,766.0,,
2003,Females,15–24,Alcohol use,"Fire, burns and scalds",0.0,1.0,,8.0,66.0,,12.0,101.0,,20.0,167.0,,
2003,Females,15–24,Alcohol use,Homicide and violence,3.0,21.0,,193.0,1401.0,,30.0,219.0,,223.0,1620.0,,
2003,Females,15–24,Alcohol use,Hypertensive heart disease,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,
2003,Females,15–24,Alcohol use,Laryngeal cancer,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,
2003,Females,15–24,Alcohol use,Lip and oral cavity cancer,0.0,1.0,,19.0,63.0,,1.0,2.0,,19.0,66.0,,
