survey_period,sex,age_group,indicator,category,value_pct,est_thousand,note
2022–24,Males,All 18+,eGFR (mL/min/1.73m²) range,≥90,57.0,5512.6,
2022–24,Females,All 18+,eGFR (mL/min/1.73m²) range,≥90,59.8,6068.7,
2022–24,Persons,All 18+,eGFR (mL/min/1.73m²) range,≥90,58.5,11597.8,
2022–24,Males,All 18+,eGFR (mL/min/1.73m²) range,75–89,26.0,2512.9,
2022–24,Females,All 18+,eGFR (mL/min/1.73m²) range,75–89,22.8,2311.1,
2022–24,Persons,All 18+,eGFR (mL/min/1.73m²) range,75–89,24.4,4825.0,
2022–24,Males,All 18+,eGFR (mL/min/1.73m²) range,60–74,12.3,1191.3,
2022–24,Females,All 18+,eGFR (mL/min/1.73m²) range,60–74,11.4,1160.5,
2022–24,Persons,All 18+,eGFR (mL/min/1.73m²) range,60–74,11.9,2349.3,
2022–24,Males,All 18+,eGFR (mL/min/1.73m²) range,45–59,3.5,339.2,
2022–24,Females,All 18+,eGFR (mL/min/1.73m²) range,45–59,4.0,403.4,
2022–24,Persons,All 18+,eGFR (mL/min/1.73m²) range,45–59,3.7,738.6,
2022–24,Males,All 18+,eGFR (mL/min/1.73m²) range,30–44,1.1,107.0,
2022–24,Females,All 18+,eGFR (mL/min/1.73m²) range,30–44,1.5,154.6,
2022–24,Persons,All 18+,eGFR (mL/min/1.73m²) range,30–44,1.4,276.7,
2022–24,Males,All 18+,eGFR (mL/min/1.73m²) range,<30,0.2,18.4,
2022–24,Females,All 18+,eGFR (mL/min/1.73m²) range,<30,0.2,19.8,
2022–24,Persons,All 18+,eGFR (mL/min/1.73m²) range,<30,0.1,27.7,
2022–24,Males,All 18+,eGFR (mL/min/1.73m²) range,,95.1,9205.3,Total normal results (≥60 mL/min/1.73m²)
2022–24,Males,All 18+,eGFR (mL/min/1.73m²) range,,95.1,462.7,Total normal results (≥60 mL/min/1.73m²)
2022–24,Males,All 18+,eGFR (mL/min/1.73m²) range,,95.1,9679.6,Total normal results (≥60 mL/min/1.73m²)
2022–24,Males,All 18+,eGFR (mL/min/1.73m²) range,,95.1,83.0,Total normal results (≥60 mL/min/1.73m²)
2022–24,Males,All 18+,eGFR (mL/min/1.73m²) range,,95.1,90.0,Total normal results (≥60 mL/min/1.73m²)
2022–24,Males,All 18+,eGFR (mL/min/1.73m²) range,,4.8,9205.3,Total abnormal results (<60 mL/min/1.73m²)
2022–24,Males,All 18+,eGFR (mL/min/1.73m²) range,,4.8,462.7,Total abnormal results (<60 mL/min/1.73m²)
2022–24,Males,All 18+,eGFR (mL/min/1.73m²) range,,4.8,9679.6,Total abnormal results (<60 mL/min/1.73m²)
2022–24,Males,All 18+,eGFR (mL/min/1.73m²) range,,4.8,83.0,Total abnormal results (<60 mL/min/1.73m²)
2022–24,Males,All 18+,eGFR (mL/min/1.73m²) range,,4.8,90.0,Total abnormal results (<60 mL/min/1.73m²)
2022–24,Males,All 18+,eGFR (mL/min/1.73m²) range,,100.0,9205.3,Total blood test results(c)
2022–24,Males,All 18+,eGFR (mL/min/1.73m²) range,,100.0,462.7,Total blood test results(c)
2022–24,Males,All 18+,eGFR (mL/min/1.73m²) range,,100.0,9679.6,Total blood test results(c)
2022–24,Males,All 18+,eGFR (mL/min/1.73m²) range,,100.0,83.0,Total blood test results(c)
2022–24,Males,All 18+,eGFR (mL/min/1.73m²) range,,100.0,90.0,Total blood test results(c)
2022–24,Females,All 18+,eGFR (mL/min/1.73m²) range,,94.3,9561.2,Total normal results (≥60 mL/min/1.73m²)
2022–24,Females,All 18+,eGFR (mL/min/1.73m²) range,,94.3,569.8,Total normal results (≥60 mL/min/1.73m²)
2022–24,Females,All 18+,eGFR (mL/min/1.73m²) range,,94.3,10142.3,Total normal results (≥60 mL/min/1.73m²)
2022–24,Females,All 18+,eGFR (mL/min/1.73m²) range,,94.3,83.0,Total normal results (≥60 mL/min/1.73m²)
2022–24,Females,All 18+,eGFR (mL/min/1.73m²) range,,94.3,90.0,Total normal results (≥60 mL/min/1.73m²)
2022–24,Females,All 18+,eGFR (mL/min/1.73m²) range,,5.6,9561.2,Total abnormal results (<60 mL/min/1.73m²)
2022–24,Females,All 18+,eGFR (mL/min/1.73m²) range,,5.6,569.8,Total abnormal results (<60 mL/min/1.73m²)
2022–24,Females,All 18+,eGFR (mL/min/1.73m²) range,,5.6,10142.3,Total abnormal results (<60 mL/min/1.73m²)
2022–24,Females,All 18+,eGFR (mL/min/1.73m²) range,,5.6,83.0,Total abnormal results (<60 mL/min/1.73m²)
2022–24,Females,All 18+,eGFR (mL/min/1.73m²) range,,5.6,90.0,Total abnormal results (<60 mL/min/1.73m²)
2022–24,Females,All 18+,eGFR (mL/min/1.73m²) range,,100.0,9561.2,Total blood test results(c)
2022–24,Females,All 18+,eGFR (mL/min/1.73m²) range,,100.0,569.8,Total blood test results(c)
2022–24,Females,All 18+,eGFR (mL/min/1.73m²) range,,100.0,10142.3,Total blood test results(c)
2022–24,Females,All 18+,eGFR (mL/min/1.73m²) range,,100.0,83.0,Total blood test results(c)
2022–24,Females,All 18+,eGFR (mL/min/1.73m²) range,,100.0,90.0,Total blood test results(c)
2022–24,Persons,All 18+,eGFR (mL/min/1.73m²) range,,94.7,18761.9,Total normal results (≥60 mL/min/1.73m²)
2022–24,Persons,All 18+,eGFR (mL/min/1.73m²) range,,94.7,1039.2,Total normal results (≥60 mL/min/1.73m²)
2022–24,Persons,All 18+,eGFR (mL/min/1.73m²) range,,94.7,19814.1,Total normal results (≥60 mL/min/1.73m²)
2022–24,Persons,All 18+,eGFR (mL/min/1.73m²) range,,94.7,83.0,Total normal results (≥60 mL/min/1.73m²)
2022–24,Persons,All 18+,eGFR (mL/min/1.73m²) range,,94.7,90.0,Total normal results (≥60 mL/min/1.73m²)
2022–24,Persons,All 18+,eGFR (mL/min/1.73m²) range,,5.2,18761.9,Total abnormal results (<60 mL/min/1.73m²)
