block,subgroup,year,category,test_scope,prevalence_pct,starred_flag
Cardiovascular disease biomarkers,Total cholesterol,2011-12,Total cholesterol – Normal (<5.5 mmol/L),blood,66.73,0
Cardiovascular disease biomarkers,Total cholesterol,2022-24,Total cholesterol – Normal (<5.5 mmol/L),blood,69.64,0
Cardiovascular disease biomarkers,Total cholesterol,2011-12,Total cholesterol – Abnormal (≥5.5 mmol/L),blood,33.23,0
Cardiovascular disease biomarkers,Total cholesterol,2022-24,Total cholesterol – Abnormal (≥5.5 mmol/L),blood,30.19,0
Cardiovascular disease biomarkers,HDL (good) cholesterol,2011-12,HDL (good) cholesterol – Normal,blood,76.54,0
Cardiovascular disease biomarkers,HDL (good) cholesterol,2022-24,HDL (good) cholesterol – Normal,blood,85.04,0
Cardiovascular disease biomarkers,HDL (good) cholesterol,2011-12,HDL (good) cholesterol – Abnormal,blood,23.42,0
Cardiovascular disease biomarkers,HDL (good) cholesterol,2022-24,HDL (good) cholesterol – Abnormal,blood,14.91,0
Cardiovascular disease biomarkers,LDL (bad) cholesterol,2011-12,LDL (bad) cholesterol – Normal (<3.5 mmol/L),fasting_blood,65.71,0
Cardiovascular disease biomarkers,LDL (bad) cholesterol,2022-24,LDL (bad) cholesterol – Normal (<3.5 mmol/L),fasting_blood,71.05,0
Cardiovascular disease biomarkers,LDL (bad) cholesterol,2011-12,LDL (bad) cholesterol – Abnormal (≥3.5 mmol/L),fasting_blood,33.25,0
Cardiovascular disease biomarkers,LDL (bad) cholesterol,2022-24,LDL (bad) cholesterol – Abnormal (≥3.5 mmol/L),fasting_blood,27.8,0
Cardiovascular disease biomarkers,Triglycerides,2011-12,Triglycerides – Normal (<2.0 mmol/L),fasting_blood,86.07,0
Cardiovascular disease biomarkers,Triglycerides,2022-24,Triglycerides – Normal (<2.0 mmol/L),fasting_blood,85.43,0
Cardiovascular disease biomarkers,Triglycerides,2011-12,Triglycerides – Abnormal (≥2.0 mmol/L),fasting_blood,13.92,0
Cardiovascular disease biomarkers,Triglycerides,2022-24,Triglycerides – Abnormal (≥2.0 mmol/L),fasting_blood,14.47,0
Cardiovascular disease biomarkers,Dyslipidaemia,2011-12,Dyslipidaemia – Does not have dyslipidaemia,fasting_blood,35.13,0
Cardiovascular disease biomarkers,Dyslipidaemia,2022-24,Dyslipidaemia – Does not have dyslipidaemia,fasting_blood,38.27,0
Cardiovascular disease biomarkers,Dyslipidaemia,2011-12,Dyslipidaemia – Has dyslipidaemia,fasting_blood,63.24,0
Cardiovascular disease biomarkers,Dyslipidaemia,2022-24,Dyslipidaemia – Has dyslipidaemia,fasting_blood,58.93,0
Diabetes,Fasting plasma glucose,2011-12,Has diabetes – Known diabetes,fasting_blood,4.16,0
