year,cube,sex,measure,category,age_group,proportion_pct
2022,8,Persons,Measured Body Mass Index(f),Underweight (less than 18.50),15-17,9.8
2022,8,Persons,Measured Body Mass Index(f),Underweight (less than 18.50),18-24,4.9
2022,8,Persons,Measured Body Mass Index(f),Underweight (less than 18.50),25-34,1.7
2022,8,Persons,Measured Body Mass Index(f),Underweight (less than 18.50),35-44,1.2
2022,8,Persons,Measured Body Mass Index(f),Underweight (less than 18.50),45-54,0.7
2022,8,Persons,Measured Body Mass Index(f),Underweight (less than 18.50),55-64,1.0
2022,8,Persons,Measured Body Mass Index(f),Underweight (less than 18.50),65 +,1.3
2022,8,Persons,Measured Body Mass Index(f),Underweight (less than 18.50),15-24,6.5
2022,8,Persons,Measured Body Mass Index(f),Underweight (less than 18.50),15-44,3.0
2022,8,Persons,Measured Body Mass Index(f),Underweight (less than 18.50),25-44,1.5
2022,8,Persons,Measured Body Mass Index(f),Underweight (less than 18.50),45-64,0.8
2022,8,Persons,Measured Body Mass Index(f),Underweight (less than 18.50),65-74,1.1
2022,8,Persons,Measured Body Mass Index(f),Underweight (less than 18.50),75 +,1.9
2022,8,Persons,Measured Body Mass Index(f),Underweight (less than 18.50),18-44,2.2
2022,8,Persons,Measured Body Mass Index(f),Underweight (less than 18.50),45 +,1.1
2022,8,Persons,Measured Body Mass Index(f),Underweight (less than 18.50),Total 18 +,1.6
2022,8,Persons,Measured Body Mass Index(f),Underweight (less than 18.50),Total 15 +,2.0
2022,8,Persons,Measured Body Mass Index(f),Normal range (18.50–19.99),18-24,12.6
2022,8,Persons,Measured Body Mass Index(f),Normal range (18.50–19.99),25-34,3.9
2022,8,Persons,Measured Body Mass Index(f),Normal range (18.50–19.99),35-44,2.6
2022,8,Persons,Measured Body Mass Index(f),Normal range (18.50–19.99),45-54,1.7
2022,8,Persons,Measured Body Mass Index(f),Normal range (18.50–19.99),55-64,1.8
2022,8,Persons,Measured Body Mass Index(f),Normal range (18.50–19.99),65 +,1.8
2022,8,Persons,Measured Body Mass Index(f),Normal range (18.50–19.99),25-44,3.3
2022,8,Persons,Measured Body Mass Index(f),Normal range (18.50–19.99),45-64,1.9
2022,8,Persons,Measured Body Mass Index(f),Normal range (18.50–19.99),65-74,1.2
2022,8,Persons,Measured Body Mass Index(f),Normal range (18.50–19.99),75 +,2.8
2022,8,Persons,Measured Body Mass Index(f),Normal range (18.50–19.99),18-44,5.4
2022,8,Persons,Measured Body Mass Index(f),Normal range (18.50–19.99),45 +,1.9
2022,8,Persons,Measured Body Mass Index(f),Normal range (18.50–19.99),Total 18 +,3.5
2022,8,Persons,Measured Body Mass Index(f),Normal range (20.00–24.99),18-24,40.8
2022,8,Persons,Measured Body Mass Index(f),Normal range (20.00–24.99),25-34,33.9
2022,8,Persons,Measured Body Mass Index(f),Normal range (20.00–24.99),35-44,28.6
2022,8,Persons,Measured Body Mass Index(f),Normal range (20.00–24.99),45-54,24.1
2022,8,Persons,Measured Body Mass Index(f),Normal range (20.00–24.99),55-64,22.4
2022,8,Persons,Measured Body Mass Index(f),Normal range (20.00–24.99),65 +,23.2
2022,8,Persons,Measured Body Mass Index(f),Normal range (20.00–24.99),25-44,31.3
2022,8,Persons,Measured Body Mass Index(f),Normal range (20.00–24.99),45-64,23.4
2022,8,Persons,Measured Body Mass Index(f),Normal range (20.00–24.99),65-74,21.6
2022,8,Persons,Measured Body Mass Index(f),Normal range (20.00–24.99),75 +,25.6
2022,8,Persons,Measured Body Mass Index(f),Normal range (20.00–24.99),18-44,33.4
2022,8,Persons,Measured Body Mass Index(f),Normal range (20.00–24.99),45 +,23.3
2022,8,Persons,Measured Body Mass Index(f),Normal range (20.00–24.99),Total 18 +,28.0
2022,8,Persons,Measured Body Mass Index(f),Total Normal range (18.50–24.99),15-17,62.4
2022,8,Persons,Measured Body Mass Index(f),Total Normal range (18.50–24.99),18-24,53.2
2022,8,Persons,Measured Body Mass Index(f),Total Normal range (18.50–24.99),25-34,37.9
2022,8,Persons,Measured Body Mass Index(f),Total Normal range (18.50–24.99),35-44,31.4
2022,8,Persons,Measured Body Mass Index(f),Total Normal range (18.50–24.99),45-54,25.9
2022,8,Persons,Measured Body Mass Index(f),Total Normal range (18.50–24.99),55-64,24.2
2022,8,Persons,Measured Body Mass Index(f),Total Normal range (18.50–24.99),65 +,25.2
2022,8,Persons,Measured Body Mass Index(f),Total Normal range (18.50–24.99),15-24,55.6
2022,8,Persons,Measured Body Mass Index(f),Total Normal range (18.50–24.99),15-44,40.9
2022,8,Persons,Measured Body Mass Index(f),Total Normal range (18.50–24.99),25-44,34.6
2022,8,Persons,Measured Body Mass Index(f),Total Normal range (18.50–24.99),45-64,25.2
2022,8,Persons,Measured Body Mass Index(f),Total Normal range (18.50–24.99),65-74,22.9
2022,8,Persons,Measured Body Mass Index(f),Total Normal range (18.50–24.99),75 +,28.4
2022,8,Persons,Measured Body Mass Index(f),Total Normal range (18.50–24.99),18-44,38.8
2022,8,Persons,Measured Body Mass Index(f),Total Normal range (18.50–24.99),45 +,25.2
2022,8,Persons,Measured Body Mass Index(f),Total Normal range (18.50–24.99),Total 18 +,31.6
2022,8,Persons,Measured Body Mass Index(f),Total Normal range (18.50–24.99),Total 15 +,33.0
2022,8,Persons,Measured Body Mass Index(f),Overweight (25.00–29.99),15-17,17.9
2022,8,Persons,Measured Body Mass Index(f),Overweight (25.00–29.99),18-24,27.3
2022,8,Persons,Measured Body Mass Index(f),Overweight (25.00–29.99),25-34,30.8
2022,8,Persons,Measured Body Mass Index(f),Overweight (25.00–29.99),35-44,34.9
2022,8,Persons,Measured Body Mass Index(f),Overweight (25.00–29.99),45-54,36.8
2022,8,Persons,Measured Body Mass Index(f),Overweight (25.00–29.99),55-64,36.0
2022,8,Persons,Measured Body Mass Index(f),Overweight (25.00–29.99),65 +,36.4
2022,8,Persons,Measured Body Mass Index(f),Overweight (25.00–29.99),15-24,24.2
2022,8,Persons,Measured Body Mass Index(f),Overweight (25.00–29.99),15-44,30.3
2022,8,Persons,Measured Body Mass Index(f),Overweight (25.00–29.99),25-44,32.9
2022,8,Persons,Measured Body Mass Index(f),Overweight (25.00–29.99),45-64,36.3
2022,8,Persons,Measured Body Mass Index(f),Overweight (25.00–29.99),65-74,36.5
2022,8,Persons,Measured Body Mass Index(f),Overweight (25.00–29.99),75 +,36.7
2022,8,Persons,Measured Body Mass Index(f),Overweight (25.00–29.99),18-44,31.6
2022,8,Persons,Measured Body Mass Index(f),Overweight (25.00–29.99),45 +,36.3
2022,8,Persons,Measured Body Mass Index(f),Overweight (25.00–29.99),Total 18 +,34.0
