survey_period,sex,age_group,indicator,category,value_pct,est_thousand,note
2022,Persons,18–24,Measured blood pressure,Normal / Low (<140 / 90 mmHg),95.6,,
2022,Persons,25–34,Measured blood pressure,Normal / Low (<140 / 90 mmHg),88.0,,
2022,Persons,35–44,Measured blood pressure,Normal / Low (<140 / 90 mmHg),85.3,,
2022,Persons,45–54,Measured blood pressure,Normal / Low (<140 / 90 mmHg),72.7,,
2022,Persons,55–64,Measured blood pressure,Normal / Low (<140 / 90 mmHg),68.0,,
2022,Persons,65 +,Measured blood pressure,Normal / Low (<140 / 90 mmHg),59.2,,
2022,Persons,25–44,Measured blood pressure,Normal / Low (<140 / 90 mmHg),86.7,,
2022,Persons,45–64,Measured blood pressure,Normal / Low (<140 / 90 mmHg),70.6,,
2022,Persons,65–74,Measured blood pressure,Normal / Low (<140 / 90 mmHg),60.9,,
2022,Persons,75 +,Measured blood pressure,Normal / Low (<140 / 90 mmHg),56.9,,
2022,Persons,18–44,Measured blood pressure,Normal / Low (<140 / 90 mmHg),88.7,,
2022,Persons,45 +,Measured blood pressure,Normal / Low (<140 / 90 mmHg),66.0,,
2022,Persons,Total 18 +,Measured blood pressure,Normal / Low (<140 / 90 mmHg),76.7,,
2022,Persons,18–24,Measured blood pressure,High (from 140 / 90 mmHg to <160 / 100 mmHg),3.8,,
2022,Persons,25–34,Measured blood pressure,High (from 140 / 90 mmHg to <160 / 100 mmHg),9.8,,
2022,Persons,35–44,Measured blood pressure,High (from 140 / 90 mmHg to <160 / 100 mmHg),11.3,,
2022,Persons,45–54,Measured blood pressure,High (from 140 / 90 mmHg to <160 / 100 mmHg),20.2,,
2022,Persons,55–64,Measured blood pressure,High (from 140 / 90 mmHg to <160 / 100 mmHg),23.9,,
2022,Persons,65 +,Measured blood pressure,High (from 140 / 90 mmHg to <160 / 100 mmHg),27.7,,
2022,Persons,25–44,Measured blood pressure,High (from 140 / 90 mmHg to <160 / 100 mmHg),10.7,,
2022,Persons,45–64,Measured blood pressure,High (from 140 / 90 mmHg to <160 / 100 mmHg),22.0,,
2022,Persons,65–74,Measured blood pressure,High (from 140 / 90 mmHg to <160 / 100 mmHg),28.3,,
2022,Persons,75 +,Measured blood pressure,High (from 140 / 90 mmHg to <160 / 100 mmHg),27.2,,
2022,Persons,18–44,Measured blood pressure,High (from 140 / 90 mmHg to <160 / 100 mmHg),9.0,,
2022,Persons,45 +,Measured blood pressure,High (from 140 / 90 mmHg to <160 / 100 mmHg),24.3,,
2022,Persons,Total 18 +,Measured blood pressure,High (from 140 / 90 mmHg to <160 / 100 mmHg),17.1,,
2022,Persons,18–24,Measured blood pressure,Very high (from 160 / 100 mmHg to <180 / 110 mmHg),0.3,,
2022,Persons,25–34,Measured blood pressure,Very high (from 160 / 100 mmHg to <180 / 110 mmHg),2.1,,
2022,Persons,35–44,Measured blood pressure,Very high (from 160 / 100 mmHg to <180 / 110 mmHg),2.6,,
2022,Persons,45–54,Measured blood pressure,Very high (from 160 / 100 mmHg to <180 / 110 mmHg),5.7,,
2022,Persons,55–64,Measured blood pressure,Very high (from 160 / 100 mmHg to <180 / 110 mmHg),6.2,,
2022,Persons,65 +,Measured blood pressure,Very high (from 160 / 100 mmHg to <180 / 110 mmHg),10.6,,
2022,Persons,25–44,Measured blood pressure,Very high (from 160 / 100 mmHg to <180 / 110 mmHg),2.4,,
2022,Persons,45–64,Measured blood pressure,Very high (from 160 / 100 mmHg to <180 / 110 mmHg),6.0,,
2022,Persons,65–74,Measured blood pressure,Very high (from 160 / 100 mmHg to <180 / 110 mmHg),9.0,,
2022,Persons,75 +,Measured blood pressure,Very high (from 160 / 100 mmHg to <180 / 110 mmHg),13.0,,
2022,Persons,18–44,Measured blood pressure,Very high (from 160 / 100 mmHg to <180 / 110 mmHg),1.9,,
2022,Persons,45 +,Measured blood pressure,Very high (from 160 / 100 mmHg to <180 / 110 mmHg),7.8,,
2022,Persons,Total 18 +,Measured blood pressure,Very high (from 160 / 100 mmHg to <180 / 110 mmHg),5.0,,
2022,Persons,18–24,Measured blood pressure,Severe (from 180 / 110 mmHg),0.6,,
2022,Persons,25–34,Measured blood pressure,Severe (from 180 / 110 mmHg),0.1,,
2022,Persons,35–44,Measured blood pressure,Severe (from 180 / 110 mmHg),0.7,,
2022,Persons,45–54,Measured blood pressure,Severe (from 180 / 110 mmHg),1.3,,
2022,Persons,55–64,Measured blood pressure,Severe (from 180 / 110 mmHg),1.9,,
2022,Persons,65 +,Measured blood pressure,Severe (from 180 / 110 mmHg),2.4,,
2022,Persons,25–44,Measured blood pressure,Severe (from 180 / 110 mmHg),0.4,,
2022,Persons,45–64,Measured blood pressure,Severe (from 180 / 110 mmHg),1.7,,
2022,Persons,65–74,Measured blood pressure,Severe (from 180 / 110 mmHg),1.7,,
2022,Persons,75 +,Measured blood pressure,Severe (from 180 / 110 mmHg),3.2,,
2022,Persons,18–44,Measured blood pressure,Severe (from 180 / 110 mmHg),0.5,,
2022,Persons,45 +,Measured blood pressure,Severe (from 180 / 110 mmHg),1.9,,
2022,Persons,Total 18 +,Measured blood pressure,Severe (from 180 / 110 mmHg),1.3,,
2022,Persons,18–24,Measured blood pressure,Very high / Severe (from 160 / 100 mmHg),1.1,,
2022,Persons,25–34,Measured blood pressure,Very high / Severe (from 160 / 100 mmHg),2.2,,
2022,Persons,35–44,Measured blood pressure,Very high / Severe (from 160 / 100 mmHg),3.3,,
2022,Persons,45–54,Measured blood pressure,Very high / Severe (from 160 / 100 mmHg),7.1,,
2022,Persons,55–64,Measured blood pressure,Very high / Severe (from 160 / 100 mmHg),8.2,,
2022,Persons,65 +,Measured blood pressure,Very high / Severe (from 160 / 100 mmHg),13.0,,
2022,Persons,25–44,Measured blood pressure,Very high / Severe (from 160 / 100 mmHg),2.8,,
2022,Persons,45–64,Measured blood pressure,Very high / Severe (from 160 / 100 mmHg),7.5,,
2022,Persons,65–74,Measured blood pressure,Very high / Severe (from 160 / 100 mmHg),10.8,,
2022,Persons,75 +,Measured blood pressure,Very high / Severe (from 160 / 100 mmHg),16.0,,
2022,Persons,18–44,Measured blood pressure,Very high / Severe (from 160 / 100 mmHg),2.4,,
2022,Persons,45 +,Measured blood pressure,Very high / Severe (from 160 / 100 mmHg),9.7,,
2022,Persons,Total 18 +,Measured blood pressure,Very high / Severe (from 160 / 100 mmHg),6.3,,
2022,Persons,18–24,Measured blood pressure,High / Very high / Severe (from 140 / 90 mmHg),4.5,,
2022,Persons,25–34,Measured blood pressure,High / Very high / Severe (from 140 / 90 mmHg),12.1,,
2022,Persons,35–44,Measured blood pressure,High / Very high / Severe (from 140 / 90 mmHg),14.8,,
2022,Persons,45–54,Measured blood pressure,High / Very high / Severe (from 140 / 90 mmHg),27.0,,
2022,Persons,55–64,Measured blood pressure,High / Very high / Severe (from 140 / 90 mmHg),32.3,,
2022,Persons,65 +,Measured blood pressure,High / Very high / Severe (from 140 / 90 mmHg),40.6,,
2022,Persons,25–44,Measured blood pressure,High / Very high / Severe (from 140 / 90 mmHg),13.4,,
2022,Persons,45–64,Measured blood pressure,High / Very high / Severe (from 140 / 90 mmHg),29.5,,
2022,Persons,65–74,Measured blood pressure,High / Very high / Severe (from 140 / 90 mmHg),38.9,,
2022,Persons,75 +,Measured blood pressure,High / Very high / Severe (from 140 / 90 mmHg),42.9,,
2022,Persons,18–44,Measured blood pressure,High / Very high / Severe (from 140 / 90 mmHg),11.4,,
2022,Persons,45 +,Measured blood pressure,High / Very high / Severe (from 140 / 90 mmHg),34.1,,
2022,Persons,Total 18 +,Measured blood pressure,High / Very high / Severe (from 140 / 90 mmHg),23.3,,
2022,Persons,18–24,Measured blood pressure,Less than 100,17.3,,
2022,Persons,25–34,Measured blood pressure,Less than 100,10.8,,
2022,Persons,35–44,Measured blood pressure,Less than 100,10.2,,
2022,Persons,45–54,Measured blood pressure,Less than 100,6.4,,
2022,Persons,55–64,Measured blood pressure,Less than 100,3.8,,
2022,Persons,65 +,Measured blood pressure,Less than 100,2.8,,
