state_code,state_name,sex,age_group,indicator,category,survey_period,value_pct,note
VIC,Victoria,Persons,18–24,Body Mass Index (BMI),Underweight / Normal range (less than 18.50–24.99),2022–24,58.8,Proportion
VIC,Victoria,Persons,25–34,Body Mass Index (BMI),Underweight / Normal range (less than 18.50–24.99),2022–24,41.7,Proportion
VIC,Victoria,Persons,35–44,Body Mass Index (BMI),Underweight / Normal range (less than 18.50–24.99),2022–24,32.2,Proportion
VIC,Victoria,Persons,45–54,Body Mass Index (BMI),Underweight / Normal range (less than 18.50–24.99),2022–24,25.3,Proportion
VIC,Victoria,Persons,55–64,Body Mass Index (BMI),Underweight / Normal range (less than 18.50–24.99),2022–24,25.1,Proportion
VIC,Victoria,Persons,65 +,Body Mass Index (BMI),Underweight / Normal range (less than 18.50–24.99),2022–24,26.1,Proportion
VIC,Victoria,Persons,25–44,Body Mass Index (BMI),Underweight / Normal range (less than 18.50–24.99),2022–24,37.8,Proportion
VIC,Victoria,Persons,45–64,Body Mass Index (BMI),Underweight / Normal range (less than 18.50–24.99),2022–24,25.3,Proportion
VIC,Victoria,Persons,65–74,Body Mass Index (BMI),Underweight / Normal range (less than 18.50–24.99),2022–24,26.8,Proportion
VIC,Victoria,Persons,75 +,Body Mass Index (BMI),Underweight / Normal range (less than 18.50–24.99),2022–24,27.4,Proportion
VIC,Victoria,Persons,18–44,Body Mass Index (BMI),Underweight / Normal range (less than 18.50–24.99),2022–24,42.2,Proportion
VIC,Victoria,Persons,45 +,Body Mass Index (BMI),Underweight / Normal range (less than 18.50–24.99),2022–24,25.8,Proportion
VIC,Victoria,Persons,Total 18 +,Body Mass Index (BMI),Underweight / Normal range (less than 18.50–24.99),2022–24,33.9,Proportion
VIC,Victoria,Persons,18–24,Body Mass Index (BMI),Overweight (25.00–29.99),2022–24,26.1,Proportion
VIC,Victoria,Persons,25–34,Body Mass Index (BMI),Overweight (25.00–29.99),2022–24,28.5,Proportion
VIC,Victoria,Persons,35–44,Body Mass Index (BMI),Overweight (25.00–29.99),2022–24,33.5,Proportion
VIC,Victoria,Persons,45–54,Body Mass Index (BMI),Overweight (25.00–29.99),2022–24,38.7,Proportion
VIC,Victoria,Persons,55–64,Body Mass Index (BMI),Overweight (25.00–29.99),2022–24,35.8,Proportion
VIC,Victoria,Persons,65 +,Body Mass Index (BMI),Overweight (25.00–29.99),2022–24,39.1,Proportion
VIC,Victoria,Persons,25–44,Body Mass Index (BMI),Overweight (25.00–29.99),2022–24,31.5,Proportion
VIC,Victoria,Persons,45–64,Body Mass Index (BMI),Overweight (25.00–29.99),2022–24,37.8,Proportion
VIC,Victoria,Persons,65–74,Body Mass Index (BMI),Overweight (25.00–29.99),2022–24,38.1,Proportion
VIC,Victoria,Persons,75 +,Body Mass Index (BMI),Overweight (25.00–29.99),2022–24,41.1,Proportion
VIC,Victoria,Persons,18–44,Body Mass Index (BMI),Overweight (25.00–29.99),2022–24,30.3,Proportion
VIC,Victoria,Persons,45 +,Body Mass Index (BMI),Overweight (25.00–29.99),2022–24,38.3,Proportion
VIC,Victoria,Persons,Total 18 +,Body Mass Index (BMI),Overweight (25.00–29.99),2022–24,34.6,Proportion
VIC,Victoria,Persons,18–24,Body Mass Index (BMI),Obesity class I (30.00–34.99),2022–24,3.6,Proportion
VIC,Victoria,Persons,25–34,Body Mass Index (BMI),Obesity class I (30.00–34.99),2022–24,15.1,Proportion
VIC,Victoria,Persons,35–44,Body Mass Index (BMI),Obesity class I (30.00–34.99),2022–24,20.4,Proportion
VIC,Victoria,Persons,45–54,Body Mass Index (BMI),Obesity class I (30.00–34.99),2022–24,23.3,Proportion
VIC,Victoria,Persons,55–64,Body Mass Index (BMI),Obesity class I (30.00–34.99),2022–24,23.5,Proportion
VIC,Victoria,Persons,65 +,Body Mass Index (BMI),Obesity class I (30.00–34.99),2022–24,19.3,Proportion
VIC,Victoria,Persons,25–44,Body Mass Index (BMI),Obesity class I (30.00–34.99),2022–24,17.4,Proportion
VIC,Victoria,Persons,45–64,Body Mass Index (BMI),Obesity class I (30.00–34.99),2022–24,22.9,Proportion
VIC,Victoria,Persons,65–74,Body Mass Index (BMI),Obesity class I (30.00–34.99),2022–24,20.3,Proportion
VIC,Victoria,Persons,75 +,Body Mass Index (BMI),Obesity class I (30.00–34.99),2022–24,20.5,Proportion
VIC,Victoria,Persons,18–44,Body Mass Index (BMI),Obesity class I (30.00–34.99),2022–24,15.2,Proportion
VIC,Victoria,Persons,45 +,Body Mass Index (BMI),Obesity class I (30.00–34.99),2022–24,21.6,Proportion
VIC,Victoria,Persons,Total 18 +,Body Mass Index (BMI),Obesity class I (30.00–34.99),2022–24,18.3,Proportion
VIC,Victoria,Persons,18–24,Body Mass Index (BMI),Obesity class II (35.00–39.99),2022–24,6.4,Proportion
VIC,Victoria,Persons,25–34,Body Mass Index (BMI),Obesity class II (35.00–39.99),2022–24,7.9,Proportion
VIC,Victoria,Persons,35–44,Body Mass Index (BMI),Obesity class II (35.00–39.99),2022–24,8.6,Proportion
