,Nutrient,Unit,2-3,4-8,9-13,14-18,19-30,31-50,51-70,71_and_over,2-18,19_and_over,Total_2_years_and_over,Category,Gender,Nutrient_with_unit,Nutrient_standard
0,Energy(a),(kJ),6044.1,7637.6,9209.4,10186.0,11003.7,10219.9,9344.7,8174.0,8635.8,9954.5,9654.8,Energy(a),Males,Energy(a) ((kJ)),energy_with_fibre_kj
2,Protein,(g),57.5,69.2,86.4,101.2,117.2,107.7,97.5,82.6,82.0,104.6,99.4,Macronutrients,Males,Protein ((g)),protein_g
3,Total Fat(c),(g),49.8,64.8,80.4,88.1,92.5,86.3,78.6,66.9,74.3,83.7,81.5,Macronutrients,Males,Total Fat(c) ((g)),fat_total_g
11,Carbohydrate(c),(g),184.3,233.0,273.9,297.1,297.2,263.9,233.8,219.4,257.5,258.8,258.5,Macronutrients,Males,Carbohydrate(c) ((g)),available_carbohydrate_without_sugar_alcohols_g
12,Total sugars,(g),94.3,110.7,125.4,134.1,131.0,119.4,101.0,101.8,119.7,115.2,116.2,Macronutrients,Males,Total sugars ((g)),total_sugars_g
14,Dietary Fibre,(g),17.0,20.1,22.8,22.4,24.4,24.9,24.8,25.1,21.2,24.8,24.0,Macronutrients,Males,Dietary Fibre ((g)),total_dietary_fibre_g
19,Thiamin (B1),(mg),1.3,1.7,1.9,1.9,1.9,1.7,1.7,1.7,1.8,1.8,1.8,Vitamins,Males,Thiamin (B1) ((mg)),thiamin_b1_mg
20,Riboflavin (B2),(mg),1.8,1.9,2.1,2.1,2.4,2.2,1.9,1.8,2.0,2.1,2.1,Vitamins,Males,Riboflavin (B2) ((mg)),riboflavin_b2_mg
21,Niacin (B3),(mg),13.8,18.2,22.3,24.6,31.6,28.9,25.9,21.9,20.7,28.0,26.3,Vitamins,Males,Niacin (B3) ((mg)),niacin_b3_mg
25,Total Folates,(µg),385.1,486.3,538.7,567.2,546.4,535.5,520.7,526.5,512.7,533.0,528.4,Vitamins,Males,Total Folates ((µg)),folate_ug
27,Vitamin B6,(mg),0.9,1.1,1.3,1.4,2.2,1.8,1.5,1.3,1.2,1.7,1.6,Vitamins,Males,Vitamin B6 ((mg)),pyridoxine_b6_mg
29,Vitamin C,(mg),78.3,88.7,99.6,103.9,116.8,110.6,107.1,100.0,95.0,110.1,106.6,Vitamins,Males,Vitamin C ((mg)),vitamin_c_mg
