public_food_key,food_name,classification,classification_name,nutrient_code,amount_per_100g,nutrient_name,unit,category,nutrient_id
F002258,"Cardamom seed, dried, ground",31302.0,Herbs(dried) and spices,energy_with_fibre_kj,1236.0,Energy(a),(kJ),Energy(a),1
F002893,"Chilli (chili), dried, ground",31302.0,Herbs(dried) and spices,energy_with_fibre_kj,1280.0,Energy(a),(kJ),Energy(a),1
F002963,"Cinnamon, dried, ground",31302.0,Herbs(dried) and spices,energy_with_fibre_kj,1004.0,Energy(a),(kJ),Energy(a),1
F002970,"Cloves, dried, ground",31302.0,Herbs(dried) and spices,energy_with_fibre_kj,1389.0,Energy(a),(kJ),Energy(a),1
F003190,"Coriander seed, dried, ground",31302.0,Herbs(dried) and spices,energy_with_fibre_kj,1344.0,Energy(a),(kJ),Energy(a),1
F003327,"Cumin (cummin) seed, dried, ground",31302.0,Herbs(dried) and spices,energy_with_fibre_kj,1782.0,Energy(a),(kJ),Energy(a),1
F003337,Curry powder,31302.0,Herbs(dried) and spices,energy_with_fibre_kj,1231.0,Energy(a),(kJ),Energy(a),1
F003821,"Fenugreek seed, dried",31302.0,Herbs(dried) and spices,energy_with_fibre_kj,1080.0,Energy(a),(kJ),Energy(a),1
F004210,"Ginger, dried, ground",31302.0,Herbs(dried) and spices,energy_with_fibre_kj,1397.0,Energy(a),(kJ),Energy(a),1
F005972,Mustard powder,31302.0,Herbs(dried) and spices,energy_with_fibre_kj,2289.0,Energy(a),(kJ),Energy(a),1
F006118,"Nutmeg, dried, ground",31302.0,Herbs(dried) and spices,energy_with_fibre_kj,2090.0,Energy(a),(kJ),Energy(a),1
F006281,"Oregano, dried",31302.0,Herbs(dried) and spices,energy_with_fibre_kj,1096.0,Energy(a),(kJ),Energy(a),1
F006316,"Paprika, dry powder",31302.0,Herbs(dried) and spices,energy_with_fibre_kj,1311.0,Energy(a),(kJ),Energy(a),1
F006618,"Pepper, black, ground",31302.0,Herbs(dried) and spices,energy_with_fibre_kj,1156.0,Energy(a),(kJ),Energy(a),1
F007715,"Rosemary, dried",31302.0,Herbs(dried) and spices,energy_with_fibre_kj,1314.0,Energy(a),(kJ),Energy(a),1
F007726,"Sage, dried",31302.0,Herbs(dried) and spices,energy_with_fibre_kj,1320.0,Energy(a),(kJ),Energy(a),1
F009160,"Thyme, dried, ground",31302.0,Herbs(dried) and spices,energy_with_fibre_kj,1182.0,Energy(a),(kJ),Energy(a),1
F009335,"Turmeric, dried, ground",31302.0,Herbs(dried) and spices,energy_with_fibre_kj,1219.0,Energy(a),(kJ),Energy(a),1
F007870,"Salt substitute, potassium chloride",31301.0,Salt,energy_with_fibre_kj,0.0,Energy(a),(kJ),Energy(a),1
F007878,"Salt, table, iodised",31301.0,Salt,energy_with_fibre_kj,0.0,Energy(a),(kJ),Energy(a),1
F007879,"Salt, table, non-iodised",31301.0,Salt,energy_with_fibre_kj,0.0,Energy(a),(kJ),Energy(a),1
F008933,"Stock, dry powder or cube",31303.0,Stock cubes and seasonings,energy_with_fibre_kj,900.0,Energy(a),(kJ),Energy(a),1
F009072,"Taco seasoning mix, chilli-based",31303.0,Stock cubes and seasonings,energy_with_fibre_kj,1010.0,Energy(a),(kJ),Energy(a),1
F000247,"Baking powder, dry powder",31501.0,Chemical raising agents and cooking ingredients,energy_with_fibre_kj,364.0,Energy(a),(kJ),Energy(a),1
F000248,"Baking soda (bicarbonate), dry powder",31501.0,Chemical raising agents and cooking ingredients,energy_with_fibre_kj,0.0,Energy(a),(kJ),Energy(a),1
F003250,"Cream of tartar, dry powder",31501.0,Chemical raising agents and cooking ingredients,energy_with_fibre_kj,2.0,Energy(a),(kJ),Energy(a),1
F004196,"Gelatine, all types",31502.0,Gelatine,energy_with_fibre_kj,1449.0,Energy(a),(kJ),Energy(a),1
F004220,"Gluten, from wheat (vital wheat gluten)",12103.0,Cereal flours and starches,energy_with_fibre_kj,1507.0,Energy(a),(kJ),Energy(a),1
F008831,"Starch, potato",24102.0,Potato products,energy_with_fibre_kj,1332.0,Energy(a),(kJ),Energy(a),1
F009351,"Vanilla, artificial or imitation",31401.0,Essences,energy_with_fibre_kj,231.0,Energy(a),(kJ),Energy(a),1
F009350,Vanilla bean extract,31401.0,Essences,energy_with_fibre_kj,1203.0,Energy(a),(kJ),Energy(a),1
F009606,"Yeast, dry powder",31101.0,Yeast,energy_with_fibre_kj,1126.0,Energy(a),(kJ),Energy(a),1
F000996,"Beer, high alcohol (5% v/v & above)",29101.0,"Beers, > 3.5% alcohol",energy_with_fibre_kj,174.0,Energy(a),(kJ),Energy(a),1
F000994,"Beer, full strength (alcohol 4-4.9% v/v)",29101.0,"Beers, > 3.5% alcohol",energy_with_fibre_kj,152.0,Energy(a),(kJ),Energy(a),1
F000995,"Beer, full strength (alcohol 4-4.9% v/v), carbohydrate modified",29101.0,"Beers, > 3.5% alcohol",energy_with_fibre_kj,126.0,Energy(a),(kJ),Energy(a),1
F001006,"Beer, mid-strength (alcohol 3-3.9% v/v)",29102.0,"Beers, 1.15- 3.5% alcohol, reduced alcohol / light",energy_with_fibre_kj,128.0,Energy(a),(kJ),Energy(a),1
F001004,"Beer, light (alcohol 1-2.9% v/v)",29102.0,"Beers, 1.15- 3.5% alcohol, reduced alcohol / light",energy_with_fibre_kj,100.0,Energy(a),(kJ),Energy(a),1
F000051,"Alcoholic beverage, spirit, approximately 40% v/v, all (Brandy, Gin, Rum, Vodka and Whisky)",29301.0,Spirits,energy_with_fibre_kj,892.0,Energy(a),(kJ),Energy(a),1
F000050,"Alcoholic beverage, spirit, approximately 30% v/v, all (Brandy, Gin, Rum, Vodka and Whisky), cooked",29301.0,Spirits,energy_with_fibre_kj,302.0,Energy(a),(kJ),Energy(a),1
F002955,"Cider, apple (alcohol approximately 4-5% v/v)",29401.0,Cider,energy_with_fibre_kj,209.0,Energy(a),(kJ),Energy(a),1
F009572,"Wine, red, cabernet sauvignon",29201.0,"Wines, red (including sparkling varieties and rose styles)",energy_with_fibre_kj,332.0,Energy(a),(kJ),Energy(a),1
F009574,"Wine, red, merlot",29201.0,"Wines, red (including sparkling varieties and rose styles)",energy_with_fibre_kj,330.0,Energy(a),(kJ),Energy(a),1
F009575,"Wine, red, pinot noir",29201.0,"Wines, red (including sparkling varieties and rose styles)",energy_with_fibre_kj,321.0,Energy(a),(kJ),Energy(a),1
F009577,"Wine, red, shiraz",29201.0,"Wines, red (including sparkling varieties and rose styles)",energy_with_fibre_kj,342.0,Energy(a),(kJ),Energy(a),1
F009571,"Wine, red",29201.0,"Wines, red (including sparkling varieties and rose styles)",energy_with_fibre_kj,335.0,Energy(a),(kJ),Energy(a),1
F009573,"Wine, red, cooked",29201.0,"Wines, red (including sparkling varieties and rose styles)",energy_with_fibre_kj,120.0,Energy(a),(kJ),Energy(a),1
F009578,"Wine, red, sparkling",29201.0,"Wines, red (including sparkling varieties and rose styles)",energy_with_fibre_kj,338.0,Energy(a),(kJ),Energy(a),1
F009579,"Wine, rose",29201.0,"Wines, red (including sparkling varieties and rose styles)",energy_with_fibre_kj,289.0,Energy(a),(kJ),Energy(a),1
F009583,"Wine, white, sauvignon blanc",29202.0,"Wines, white (including sparkling varieties)",energy_with_fibre_kj,296.0,Energy(a),(kJ),Energy(a),1
F009584,"Wine, white, semillon",29202.0,"Wines, white (including sparkling varieties)",energy_with_fibre_kj,270.0,Energy(a),(kJ),Energy(a),1
F009582,"Wine, white, chardonnay",29202.0,"Wines, white (including sparkling varieties)",energy_with_fibre_kj,310.0,Energy(a),(kJ),Energy(a),1
F009586,"Wine, white, riesling",29202.0,"Wines, white (including sparkling varieties)",energy_with_fibre_kj,292.0,Energy(a),(kJ),Energy(a),1
F009581,"Wine, white",29202.0,"Wines, white (including sparkling varieties)",energy_with_fibre_kj,301.0,Energy(a),(kJ),Energy(a),1
F009580,"Wine, white, cooked",29202.0,"Wines, white (including sparkling varieties)",energy_with_fibre_kj,107.0,Energy(a),(kJ),Energy(a),1
F009590,"Wine, white, sparkling",29202.0,"Wines, white (including sparkling varieties)",energy_with_fibre_kj,306.0,Energy(a),(kJ),Energy(a),1
F009592,"Wine, white, sweet dessert style",29202.0,"Wines, white (including sparkling varieties)",energy_with_fibre_kj,497.0,Energy(a),(kJ),Energy(a),1
F009566,"Wine, fortified, port",29203.0,Fortified wines,energy_with_fibre_kj,600.0,Energy(a),(kJ),Energy(a),1
F009567,"Wine, fortified, sherry, dry style (approximately 1% sugars)",29203.0,Fortified wines,energy_with_fibre_kj,435.0,Energy(a),(kJ),Energy(a),1
F009568,"Wine, fortified, sherry, sweet style (approximately 11% sugars)",29203.0,Fortified wines,energy_with_fibre_kj,577.0,Energy(a),(kJ),Energy(a),1
F007493,"Protein powder, whey based, protein >70%, unfortified",30105.0,"Sport and protein, dry powders",energy_with_fibre_kj,1568.0,Energy(a),(kJ),Energy(a),1
F009818,"Protein powder, whey based, protein >70%, unfortified, prepared with water",30104.0,Sport and protein prepared beverages,energy_with_fibre_kj,261.0,Energy(a),(kJ),Energy(a),1
F002980,Cocoa powder,11804.0,Unfortified dry beverage flavourings,energy_with_fibre_kj,1335.0,Energy(a),(kJ),Energy(a),1
F001029,"Beverage base, chocolate flavour, added vitamins A, B1, B2, C & D, Ca & Fe (Milo)",11802.0,Fortified dry beverage flavourings,energy_with_fibre_kj,1666.0,Energy(a),(kJ),Energy(a),1
F001032,"Beverage base, chocolate flavour, unfortified (Nesquik brand)",11804.0,Unfortified dry beverage flavourings,energy_with_fibre_kj,1574.0,Energy(a),(kJ),Energy(a),1
F001073,"Beverage, chocolate flavour, from Nesquik powder, with regular fat cows milk",11803.0,Unfortified beverage flavourings prepared with water or milk,energy_with_fibre_kj,344.0,Energy(a),(kJ),Energy(a),1
F001068,"Beverage, chocolate flavour, from Milo powder, with regular fat cows milk",11801.0,Fortified beverage flavourings prepared with water or milk,energy_with_fibre_kj,395.0,Energy(a),(kJ),Energy(a),1
F001036,"Beverage base, drinking chocolate, unfortified",11804.0,Unfortified dry beverage flavourings,energy_with_fibre_kj,1508.0,Energy(a),(kJ),Energy(a),1
F001064,"Beverage, chocolate flavour, from drinking chocolate, with regular fat cows milk",11803.0,Unfortified beverage flavourings prepared with water or milk,energy_with_fibre_kj,356.0,Energy(a),(kJ),Energy(a),1
F003060,"Coffee, instant, dry powder or granules",11205.0,"Dry coffee powder, caffeinated or decaffeinated",energy_with_fibre_kj,588.0,Energy(a),(kJ),Energy(a),1
F003017,"Coffee, black, from instant coffee powder",11201.0,"Coffee beverage, prepared with water",energy_with_fibre_kj,5.0,Energy(a),(kJ),Energy(a),1
F003061,"Coffee, instant, dry powder or granules, decaffeinated",11205.0,"Dry coffee powder, caffeinated or decaffeinated",energy_with_fibre_kj,522.0,Energy(a),(kJ),Energy(a),1
F003018,"Coffee, black, from instant coffee powder, decaffeinated",11203.0,"Coffee beverage, decaffeinated, prepared with water",energy_with_fibre_kj,5.0,Energy(a),(kJ),Energy(a),1
F003014,"Coffee mix, with beverage whitener & sugar, dry powder",11209.0,Dry or concentrate coffee-based mixes,energy_with_fibre_kj,1645.0,Energy(a),(kJ),Energy(a),1
F003084,"Coffee, prepared from coffee mix with sugar & whitener, no added milk",11208.0,"Coffee-based mixes, beverage",energy_with_fibre_kj,82.0,Energy(a),(kJ),Energy(a),1
F003041,"Coffee, espresso, from ground coffee beans",11201.0,"Coffee beverage, prepared with water",energy_with_fibre_kj,40.0,Energy(a),(kJ),Energy(a),1
F009796,"Coffee, flat white/latte/cappuccino, from ground coffee beans, with regular fat cows milk",11202.0,"Coffee beverage, prepared with milk or milk substitute",energy_with_fibre_kj,195.0,Energy(a),(kJ),Energy(a),1
F003065,"Coffee, long black, from ground coffee beans",11201.0,"Coffee beverage, prepared with water",energy_with_fibre_kj,8.0,Energy(a),(kJ),Energy(a),1
F003130,"Cordial base, 25% citrus fruit juice, regular",11403.0,Cordial concentrate,energy_with_fibre_kj,606.0,Energy(a),(kJ),Energy(a),1
F003158,"Cordial, 25% citrus fruit juice, regular, recommended dilution",11401.0,"Cordials, made from concentrate",energy_with_fibre_kj,142.0,Energy(a),(kJ),Energy(a),1
F003135,"Cordial base, 40% citrus fruit juice, regular",11403.0,Cordial concentrate,energy_with_fibre_kj,659.0,Energy(a),(kJ),Energy(a),1
F003160,"Cordial, 40% citrus fruit juice, regular, recommended dilution",11401.0,"Cordials, made from concentrate",energy_with_fibre_kj,154.0,Energy(a),(kJ),Energy(a),1
F003128,"Cordial base, blackcurrant juice, regular",11403.0,Cordial concentrate,energy_with_fibre_kj,731.0,Energy(a),(kJ),Energy(a),1
F003156,"Cordial, blackcurrant juice, regular, recommended dilution",11401.0,"Cordials, made from concentrate",energy_with_fibre_kj,151.0,Energy(a),(kJ),Energy(a),1
F004099,"Fruit drink, apple juice",11307.0,Fruit drinks (ready to drink or made from concentrate),energy_with_fibre_kj,137.0,Energy(a),(kJ),Energy(a),1
F004102,"Fruit drink, cranberry",11307.0,Fruit drinks (ready to drink or made from concentrate),energy_with_fibre_kj,182.0,Energy(a),(kJ),Energy(a),1
F004114,"Fruit drink, orange juice",11307.0,Fruit drinks (ready to drink or made from concentrate),energy_with_fibre_kj,163.0,Energy(a),(kJ),Energy(a),1
F004663,"Juice, apple, commercial, added vitamin C",11301.0,"Fruit juices, commercially prepared",energy_with_fibre_kj,121.0,Energy(a),(kJ),Energy(a),1
F004656,"Juice, apple & blackcurrant, commercial",11301.0,"Fruit juices, commercially prepared",energy_with_fibre_kj,162.0,Energy(a),(kJ),Energy(a),1
F004726,"Juice, lemon",11301.0,"Fruit juices, commercially prepared",energy_with_fibre_kj,115.0,Energy(a),(kJ),Energy(a),1
F004729,"Juice, lime",11301.0,"Fruit juices, commercially prepared",energy_with_fibre_kj,122.0,Energy(a),(kJ),Energy(a),1
F004739,"Juice, orange, commercial",11301.0,"Fruit juices, commercially prepared",energy_with_fibre_kj,112.0,Energy(a),(kJ),Energy(a),1
F004731,"Juice, orange & mango, commercial",11301.0,"Fruit juices, commercially prepared",energy_with_fibre_kj,146.0,Energy(a),(kJ),Energy(a),1
F009794,"Water, coconut, commercial",22203.0,Coconut and coconut products,energy_with_fibre_kj,54.0,Energy(a),(kJ),Energy(a),1
F005696,"Mineral water, natural, unflavoured",11702.0,Purchased packaged water including mineral water,energy_with_fibre_kj,0.0,Energy(a),(kJ),Energy(a),1
F005694,"Mineral water, citrus flavoured",11505.0,Flavoured mineral waters,energy_with_fibre_kj,152.0,Energy(a),(kJ),Energy(a),1
