nutrient_id,nutrient_name,unit,sex,old_age_range,recommended_amount,new_age_start,new_age_end
1,Energy(a),(kJ),Males,14-18,10186.0,15,17.0
2,Protein,(g),Males,14-18,101.2,15,17.0
3,Total Fat(c),(g),Males,14-18,88.1,15,17.0
4,Carbohydrate(c),(g),Males,14-18,297.1,15,17.0
5,Total sugars,(g),Males,14-18,134.1,15,17.0
6,Dietary Fibre,(g),Males,14-18,22.4,15,17.0
7,Thiamin (B1),(mg),Males,14-18,1.9,15,17.0
8,Riboflavin (B2),(mg),Males,14-18,2.1,15,17.0
9,Niacin (B3),(mg),Males,14-18,24.6,15,17.0
10,Total Folates,(µg),Males,14-18,567.2,15,17.0
11,Vitamin B6,(mg),Males,14-18,1.4,15,17.0
12,Vitamin C,(mg),Males,14-18,103.9,15,17.0
13,Vitamin E,(mg),Males,14-18,10.4,15,17.0
14,Calcium,(mg),Males,14-18,924.6,15,17.0
15,Iron,(mg),Males,14-18,12.5,15,17.0
16,Magnesium,(mg),Males,14-18,314.5,15,17.0
17,Potassium,(mg),Males,14-18,2830.0,15,17.0
18,Sodium(e),(mg),Males,14-18,3116.8,15,17.0
19,Zinc,(mg),Males,14-18,12.8,15,17.0
1,Energy(a),(kJ),Females,14-18,8114.3,15,17.0
2,Protein,(g),Females,14-18,76.5,15,17.0
3,Total Fat(c),(g),Females,14-18,73.1,15,17.0
4,Carbohydrate(c),(g),Females,14-18,235.3,15,17.0
5,Total sugars,(g),Females,14-18,109.2,15,17.0
6,Dietary Fibre,(g),Females,14-18,19.3,15,17.0
7,Thiamin (B1),(mg),Females,14-18,1.5,15,17.0
8,Riboflavin (B2),(mg),Females,14-18,1.7,15,17.0
9,Niacin (B3),(mg),Females,14-18,19.4,15,17.0
10,Total Folates,(µg),Females,14-18,431.2,15,17.0
11,Vitamin B6,(mg),Females,14-18,1.2,15,17.0
12,Vitamin C,(mg),Females,14-18,101.9,15,17.0
13,Vitamin E,(mg),Females,14-18,8.9,15,17.0
14,Calcium,(mg),Females,14-18,740.7,15,17.0
15,Iron,(mg),Females,14-18,9.2,15,17.0
16,Magnesium,(mg),Females,14-18,266.1,15,17.0
17,Potassium,(mg),Females,14-18,2465.5,15,17.0
18,Sodium(e),(mg),Females,14-18,2399.2,15,17.0
19,Zinc,(mg),Females,14-18,8.7,15,17.0
1,Energy(a),(kJ),Persons,14-18,9158.6,15,17.0
2,Protein,(g),Persons,14-18,89.0,15,17.0
3,Total Fat(c),(g),Persons,14-18,80.7,15,17.0
4,Carbohydrate(c),(g),Persons,14-18,266.5,15,17.0
5,Total sugars,(g),Persons,14-18,121.7,15,17.0
6,Dietary Fibre,(g),Persons,14-18,20.8,15,17.0
