diet_sex,diet_category_group,diet_category,diet_age_group,diet_estimate_000
Persons,Daily consumption of fruit,Met recommendation,18–24,794.3
Persons,Daily consumption of fruit,Did not meet recommendation,18–24,1364.9
Persons,Daily consumption of fruit,Total persons aged 18 years and over,18–24,2171.9
Persons,Daily consumption of vegetables,Met recommendation,18–24,64.6
Persons,Daily consumption of vegetables,Did not meet recommendation,18–24,2100.5
Persons,Daily consumption of vegetables,Total persons aged 18 years and over,18–24,2171.9
Persons,Daily consumption of fruit and vegetables,Met recommendation,18–24,44.9
Persons,Daily consumption of fruit and vegetables,Did not meet recommendation,18–24,2116.5
Persons,Daily consumption of fruit and vegetables,Total persons aged 18 years and over,18–24,2171.9
Persons,Usual daily consumption of fruit,Does not eat fruit,18–24,323.8
Persons,Usual daily consumption of fruit,Less than 1 serve,18–24,48.4
Persons,Usual daily consumption of fruit,1 serve,18–24,988.0
Persons,Usual daily consumption of fruit,2 serves,18–24,557.2
Persons,Usual daily consumption of fruit,3 serves,18–24,178.1
Persons,Usual daily consumption of fruit,4 serves,18–24,48.0
Persons,Usual daily consumption of fruit,5 or more serves,18–24,18.3
Persons,Usual daily consumption of fruit,Total persons aged 18 years and over,18–24,2171.9
Persons,Usual daily consumption of vegetables,Does not eat vegetables,18–24,76.8
Persons,Usual daily consumption of vegetables,Less than 1 serve,18–24,70.7
Persons,Usual daily consumption of vegetables,1 serve,18–24,709.6
Persons,Usual daily consumption of vegetables,2 serves,18–24,662.7
Persons,Usual daily consumption of vegetables,3 serves,18–24,311.8
Persons,Usual daily consumption of vegetables,4 serves,18–24,248.5
Persons,Usual daily consumption of vegetables,5 serves,18–24,63.9
Persons,Usual daily consumption of vegetables,6 or more serves,18–24,42.9
Persons,Usual daily consumption of vegetables,Total persons aged 18 years and over,18–24,2171.9
Persons,Usual daily consumption of vegetables,Average number of serves of fruit,18–24,1.4
Persons,Usual daily consumption of vegetables,Average number of serves of vegetables,18–24,2.1
Persons,Usual daily consumption of vegetables,"Total persons, 18 years and over",18–24,2171.9
Males,Daily consumption of fruit,Met recommendation,18–24,415.3
Males,Daily consumption of fruit,Did not meet recommendation,18–24,709.4
Males,Daily consumption of fruit,Total males aged 18 years and over,18–24,1112.0
Males,Daily consumption of vegetables,Met recommendation,18–24,34.3
Males,Daily consumption of vegetables,Did not meet recommendation,18–24,1087.5
Males,Daily consumption of vegetables,Total males aged 18 years and over,18–24,1112.0
Males,Daily consumption of fruit and vegetables,Met recommendation,18–24,29.1
Males,Daily consumption of fruit and vegetables,Did not meet recommendation,18–24,1090.5
Males,Daily consumption of fruit and vegetables,Total males aged 18 years and over,18–24,1112.0
Males,Usual daily consumption of fruit,Does not eat fruit,18–24,189.1
Males,Usual daily consumption of fruit,Less than 1 serve,18–24,27.4
Males,Usual daily consumption of fruit,1 serve,18–24,488.2
Males,Usual daily consumption of fruit,2 serves,18–24,302.2
Males,Usual daily consumption of fruit,3 serves,18–24,64.0
Males,Usual daily consumption of fruit,4 serves,18–24,13.7
Males,Usual daily consumption of fruit,5 or more serves,18–24,24.5
Males,Usual daily consumption of fruit,Total males aged 18 years and over,18–24,1112.0
Males,Usual daily consumption of vegetables,Does not eat vegetables,18–24,28.0
Males,Usual daily consumption of vegetables,Less than 1 serve,18–24,23.6
Males,Usual daily consumption of vegetables,1 serve,18–24,362.7
Males,Usual daily consumption of vegetables,2 serves,18–24,329.8
Males,Usual daily consumption of vegetables,3 serves,18–24,172.2
Males,Usual daily consumption of vegetables,4 serves,18–24,104.7
Males,Usual daily consumption of vegetables,5 serves,18–24,44.5
Males,Usual daily consumption of vegetables,6 or more serves,18–24,34.3
Males,Usual daily consumption of vegetables,Total males aged 18 years and over,18–24,1112.0
Males,Usual daily consumption of vegetables,Average number of serves of fruit,18–24,1.4
Males,Usual daily consumption of vegetables,Average number of serves of vegetables,18–24,2.2
Males,Usual daily consumption of vegetables,"Total males, 18 years and over",18–24,1112.0
Females,Daily consumption of fruit,Met recommendation,18–24,393.6
Females,Daily consumption of fruit,Did not meet recommendation,18–24,659.4
Females,Daily consumption of fruit,Total females aged 18 years and over,18–24,1053.1
Females,Daily consumption of vegetables,Met recommendation,18–24,40.7
Females,Daily consumption of vegetables,Did not meet recommendation,18–24,1012.7
Females,Daily consumption of vegetables,Total females aged 18 years and over,18–24,1053.1
Females,Daily consumption of fruit and vegetables,Met recommendation,18–24,18.0
Females,Daily consumption of fruit and vegetables,Did not meet recommendation,18–24,1038.7
Females,Daily consumption of fruit and vegetables,Total females aged 18 years and over,18–24,1053.1
Females,Usual daily consumption of fruit,Does not eat fruit,18–24,132.2
Females,Usual daily consumption of fruit,Less than 1 serve,18–24,23.8
Females,Usual daily consumption of fruit,1 serve,18–24,507.3
Females,Usual daily consumption of fruit,2 serves,18–24,248.3
Females,Usual daily consumption of fruit,3 serves,18–24,96.9
Females,Usual daily consumption of fruit,4 serves,18–24,40.8
Females,Usual daily consumption of fruit,5 or more serves,18–24,1.6
Females,Usual daily consumption of fruit,Total females aged 18 years and over,18–24,1053.1
Females,Usual daily consumption of vegetables,Does not eat vegetables,18–24,45.7
Females,Usual daily consumption of vegetables,Less than 1 serve,18–24,30.9
Females,Usual daily consumption of vegetables,1 serve,18–24,358.1
Females,Usual daily consumption of vegetables,2 serves,18–24,323.8
Females,Usual daily consumption of vegetables,3 serves,18–24,138.8
Females,Usual daily consumption of vegetables,4 serves,18–24,129.3
Females,Usual daily consumption of vegetables,5 serves,18–24,22.2
Females,Usual daily consumption of vegetables,6 or more serves,18–24,6.9
Females,Usual daily consumption of vegetables,Total females aged 18 years and over,18–24,1053.1
Females,Usual daily consumption of vegetables,Average number of serves of fruit,18–24,1.4
Females,Usual daily consumption of vegetables,Average number of serves of vegetables,18–24,2.1
Females,Usual daily consumption of vegetables,"Total females, 18 years and over",18–24,1053.1
Persons,Daily consumption of fruit,Met recommendation,25–34,1474.2
Persons,Daily consumption of fruit,Did not meet recommendation,25–34,2214.0
Persons,Daily consumption of fruit,Total persons aged 18 years and over,25–34,3686.3
Persons,Daily consumption of vegetables,Met recommendation,25–34,228.6
Persons,Daily consumption of vegetables,Did not meet recommendation,25–34,3450.4
Persons,Daily consumption of vegetables,Total persons aged 18 years and over,25–34,3686.3
Persons,Daily consumption of fruit and vegetables,Met recommendation,25–34,144.7
Persons,Daily consumption of fruit and vegetables,Did not meet recommendation,25–34,3543.4
Persons,Daily consumption of fruit and vegetables,Total persons aged 18 years and over,25–34,3686.3
Persons,Usual daily consumption of fruit,Does not eat fruit,25–34,458.1
Persons,Usual daily consumption of fruit,Less than 1 serve,25–34,123.4
Persons,Usual daily consumption of fruit,1 serve,25–34,1643.1
Persons,Usual daily consumption of fruit,2 serves,25–34,1006.5
Persons,Usual daily consumption of fruit,3 serves,25–34,356.2
Persons,Usual daily consumption of fruit,4 serves,25–34,82.0
Persons,Usual daily consumption of fruit,5 or more serves,25–34,35.9
Persons,Usual daily consumption of fruit,Total persons aged 18 years and over,25–34,3686.3
Persons,Usual daily consumption of vegetables,Does not eat vegetables,25–34,100.4
Persons,Usual daily consumption of vegetables,Less than 1 serve,25–34,59.7
Persons,Usual daily consumption of vegetables,1 serve,25–34,1051.1
Persons,Usual daily consumption of vegetables,2 serves,25–34,1142.4
Persons,Usual daily consumption of vegetables,3 serves,25–34,699.6
Persons,Usual daily consumption of vegetables,4 serves,25–34,343.1
Persons,Usual daily consumption of vegetables,5 serves,25–34,190.3
Persons,Usual daily consumption of vegetables,6 or more serves,25–34,98.7
Persons,Usual daily consumption of vegetables,Total persons aged 18 years and over,25–34,3686.3
Persons,Usual daily consumption of vegetables,Average number of serves of fruit,25–34,1.4
Persons,Usual daily consumption of vegetables,Average number of serves of vegetables,25–34,2.3
Persons,Usual daily consumption of vegetables,"Total persons, 18 years and over",25–34,3686.3
Males,Daily consumption of fruit,Met recommendation,25–34,662.4
Males,Daily consumption of fruit,Did not meet recommendation,25–34,1179.1
Males,Daily consumption of fruit,Total males aged 18 years and over,25–34,1832.4
Males,Daily consumption of vegetables,Met recommendation,25–34,49.9
Males,Daily consumption of vegetables,Did not meet recommendation,25–34,1781.0
Males,Daily consumption of vegetables,Total males aged 18 years and over,25–34,1832.4
Males,Daily consumption of fruit and vegetables,Met recommendation,25–34,29.9
Males,Daily consumption of fruit and vegetables,Did not meet recommendation,25–34,1800.6
Males,Daily consumption of fruit and vegetables,Total males aged 18 years and over,25–34,1832.4
Males,Usual daily consumption of fruit,Does not eat fruit,25–34,284.0
Males,Usual daily consumption of fruit,Less than 1 serve,25–34,76.0
Males,Usual daily consumption of fruit,1 serve,25–34,807.7
Males,Usual daily consumption of fruit,2 serves,25–34,444.4
Males,Usual daily consumption of fruit,3 serves,25–34,157.1
Males,Usual daily consumption of fruit,4 serves,25–34,32.2
Males,Usual daily consumption of fruit,5 or more serves,25–34,23.4
Males,Usual daily consumption of fruit,Total males aged 18 years and over,25–34,1832.4
Males,Usual daily consumption of vegetables,Does not eat vegetables,25–34,47.8
Males,Usual daily consumption of vegetables,Less than 1 serve,25–34,31.8
Males,Usual daily consumption of vegetables,1 serve,25–34,555.7
Males,Usual daily consumption of vegetables,2 serves,25–34,601.0
Males,Usual daily consumption of vegetables,3 serves,25–34,309.4
Males,Usual daily consumption of vegetables,4 serves,25–34,162.6
Males,Usual daily consumption of vegetables,5 serves,25–34,72.3
Males,Usual daily consumption of vegetables,6 or more serves,25–34,49.9
Males,Usual daily consumption of vegetables,Total males aged 18 years and over,25–34,1832.4
Males,Usual daily consumption of vegetables,Average number of serves of fruit,25–34,1.4
Males,Usual daily consumption of vegetables,Average number of serves of vegetables,25–34,2.2
Males,Usual daily consumption of vegetables,"Total males, 18 years and over",25–34,1832.4
Females,Daily consumption of fruit,Met recommendation,25–34,806.0
Females,Daily consumption of fruit,Did not meet recommendation,25–34,1040.4
Females,Daily consumption of fruit,Total females aged 18 years and over,25–34,1850.2
Females,Daily consumption of vegetables,Met recommendation,25–34,186.1
Females,Daily consumption of vegetables,Did not meet recommendation,25–34,1669.4
