smoke_sex,smoke_category_group,smoke_category,smoke_age_group,smoke_estimate_000
Persons,Usual number of days smoked per week,1–2 days,15–17,4.4
Persons,Usual number of days smoked per week,3–6 days,15–17,1.3
Persons,Usual number of days smoked per week,Daily,15–17,14.7
Persons,Usual number of days smoked per week,Total current daily or weekly smoker,15–17,19.0
Persons,Usual number of cigarettes smoked per day,1 to 4 cigarettes,15–17,8.0
Persons,Usual number of cigarettes smoked per day,5 to 9 cigarettes,15–17,3.7
Persons,Usual number of cigarettes smoked per day,10 to 14 cigarettes,15–17,2.7
Persons,Usual number of cigarettes smoked per day,15 to 19 cigarettes,15–17,0.0
Persons,Usual number of cigarettes smoked per day,20 or more cigarettes,15–17,0.0
Persons,Usual number of cigarettes smoked per day,Total current daily smoker,15–17,14.7
Persons,Average number of cigarettes smoked per day (7 day average),Current daily smoker,15–17,4.1
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,15–17,62.9
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,15–17,104.9
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,15–17,165.4
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,15–17,749.8
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Total persons aged 15 years and over,15–17,924.8
Persons,Use of electronic cigarette (e-cigarette) / vaping device,"Total persons, 15 years and over",15–17,924.8
Males,Usual number of days smoked per week,1–2 days,15–17,0.0
Males,Usual number of days smoked per week,3–6 days,15–17,0.0
Males,Usual number of days smoked per week,Daily,15–17,5.8
Males,Usual number of days smoked per week,Total current daily or weekly smoker,15–17,10.4
Males,Usual number of cigarettes smoked per day,1 to 4 cigarettes,15–17,7.1
Males,Usual number of cigarettes smoked per day,5 to 9 cigarettes,15–17,0.0
Males,Usual number of cigarettes smoked per day,10 to 14 cigarettes,15–17,2.7
Males,Usual number of cigarettes smoked per day,15 to 19 cigarettes,15–17,0.0
Males,Usual number of cigarettes smoked per day,20 or more cigarettes,15–17,0.0
Males,Usual number of cigarettes smoked per day,Total current daily smoker,15–17,5.8
Males,Average number of cigarettes smoked per day (7 day average),Current daily smoker,15–17,3.7
Males,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,15–17,32.0
Males,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,15–17,42.2
Males,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,15–17,81.6
Males,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,15–17,393.7
Males,Use of electronic cigarette (e-cigarette) / vaping device,Total males aged 15 years and over,15–17,471.3
Males,Use of electronic cigarette (e-cigarette) / vaping device,"Total males, 15 years and over",15–17,471.3
Females,Usual number of days smoked per week,1–2 days,15–17,7.6
Females,Usual number of days smoked per week,3–6 days,15–17,0.0
Females,Usual number of days smoked per week,Daily,15–17,8.2
Females,Usual number of days smoked per week,Total current daily or weekly smoker,15–17,14.6
Females,Usual number of cigarettes smoked per day,1 to 4 cigarettes,15–17,0.0
Females,Usual number of cigarettes smoked per day,5 to 9 cigarettes,15–17,4.2
Females,Usual number of cigarettes smoked per day,10 to 14 cigarettes,15–17,0.0
Females,Usual number of cigarettes smoked per day,15 to 19 cigarettes,15–17,0.0
Females,Usual number of cigarettes smoked per day,20 or more cigarettes,15–17,0.0
Females,Usual number of cigarettes smoked per day,Total current daily smoker,15–17,8.2
Females,Average number of cigarettes smoked per day (7 day average),Current daily smoker,15–17,4.5
Females,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,15–17,30.6
Females,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,15–17,65.1
Females,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,15–17,95.9
Females,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,15–17,356.2
Females,Use of electronic cigarette (e-cigarette) / vaping device,Total females aged 15 years and over,15–17,444.7
Females,Use of electronic cigarette (e-cigarette) / vaping device,"Total females, 15 years and over",15–17,444.7
Persons,Usual number of days smoked per week,1–2 days,18–24,33.3
Persons,Usual number of days smoked per week,3–6 days,18–24,6.1
Persons,Usual number of days smoked per week,Daily,18–24,159.0
Persons,Usual number of days smoked per week,Total current daily or weekly smoker,18–24,204.4
Persons,Usual number of cigarettes smoked per day,1 to 4 cigarettes,18–24,80.3
Persons,Usual number of cigarettes smoked per day,5 to 9 cigarettes,18–24,41.2
